identifier,group,oligomeric_state,lca_phylum,lca_class,lca_order,length
A0A553P7J2_IPR045860_1_508-607,none,monomere,Arthropoda (phylum),Hexanauplia (class),Harpacticoida (order),95-117
A0A553QXQ1_IPR045860_1_69-153,none,monomere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0A5A9N8P0_IPR045860_1_12-75,none,monomere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),50-72
A0A5A9PD80_IPR016054_2_18-111,Ly6,multimere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0A643BR30_IPR045860_1_4-67,none,monomere,Chordata (phylum),Mammalia (class),Artiodactyla (order),50-72
A0A668SKC7_IPR045860_1_17-82,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cichliformes (order),50-72
A0A670INU5_IPR045860_1_67-156,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A674J8M8_IPR045860_2_17-104,Ly6,multimere,Chordata (phylum),Testudines (order),Testudines (order),72-95
A0A6A4T6C6_IPR016054_2_232-311,mixture,mixture,Chordata (phylum),Actinopteri (class),Euacanthomorphacea (clade),72-95
A0A6A5G8W7_IPR045860_1_403-473,mixture,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A6F9AWL3_IPR045860_3_79-133,Ly6,multimere,Chordata (phylum),Actinopteri (class),Salmoniformes (order),50-72
A0A6G0UYG3_IPR045860_1_9-86,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A6I8RYL8_IPR045860_1_14-87,none,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A6I9XSF4_IPR045860_1_153-212,none,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
A0A6J0BFE8_IPR045860_1_32-134,none,monomere,Arthropoda (phylum),Insecta (class),Hymenoptera (order),95-117
A0A6J0VCU1_IPR045860_2_22-108,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A6J1NVX1_IPR045860_1_31-137,none,monomere,Arthropoda (phylum),Insecta (class),Lepidoptera (order),95-117
A0A6J1W0A0_IPR045860_1_17-103,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A6J3GLE3_IPR045860_1_32-117,mixture,mixture,Chordata (phylum),Mammalia (class),Primates (order),72-95
A0A6P4XSJ3_IPR045860_1_20-121,none,monomere,Chordata (phylum),Leptocardii (class),Amphioxiformes (order),95-117
A0A6P5A035_IPR045860_1_28-120,none,monomere,Chordata (phylum),Leptocardii (class),Amphioxiformes (order),72-95
A0A6P5CUE3_IPR045860_1_8-58,none,monomere,Chordata (phylum),Mammalia (class),Artiodactyla (order),50-72
A0A6P6K1J8_IPR016054_1_18-107,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0A6P7HMU9_IPR045860_1_18-104,Ly6,monomere,Chordata (phylum),Actinopteri (class),Ovalentaria incertae sedis (no rank),72-95
A0A6P7K2Z5_IPR045860_1_40-115,none,monomere,Chordata (phylum),Actinopteri (class),Ambassidae (family),72-95
A0A6P7M6W2_IPR016054_1_19-112,mixture,mixture,Chordata (phylum),Actinopteri (class),Percomorphaceae (clade),72-95
A0A6P7P1E9_IPR016054_1_23-100,none,monomere,Chordata (phylum),Actinopteri (class),Anabantiformes (order),72-95
A0A6P7TH81_IPR045860_1_26-114,none,monomere,Mollusca (phylum),Cephalopoda (class),Octopoda (order),72-95
A0A6P7YV81_IPR045860_1_115-200,Ly6,multimere,Chordata (phylum),Amphibia (class),Gymnophiona (order),72-95
A0A6P7Z0R5_IPR045860_2_18-106,Ly6,mixture,Chordata (phylum),Amphibia (class),Gymnophiona (order),72-95
A0A6P8HK20_IPR045860_3_818-904,none,mixture,Cnidaria (phylum),Anthozoa (class),Actiniaria (order),72-95
A0A6P8ICE1_IPR045860_1_20-97,none,monomere,Cnidaria (phylum),Anthozoa (class),Actiniaria (order),72-95
A0A6P8SIG0_IPR045860_1_116-202,Ly6,multimere,Chordata (phylum),Amphibia (class),Gymnophiona (order),72-95
A0A6Q2XKB3_IPR045860_1_26-102,none,monomere,Chordata (phylum),Actinopteri (class),Esociformes (order),72-95
A0A6S7LSD8_IPR045860_1_19-110,none,monomere,Cnidaria (phylum),Anthozoa (class),Malacalcyonacea (order),72-95
A0A6V7WLD8_IPR045860_1_40-118,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A7E4VD84_IPR045860_1_5-70,Ly6,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0A7J7VMX4_IPR045860_1_53-131,mixture,monomere,Chordata (phylum),Mammalia (class),Chiroptera (order),72-95
A0A7J8BAV1_IPR051445_1_1-141,Ly6,monomere,Chordata (phylum),Mammalia (class),Chiroptera (order),140-162
A0A7K4YMR2_IPR016054_1_4-89,Ly6,monomere,Chordata (phylum),Aves (class),Bucerotiformes (order),72-95
A0A7M7GD60_IPR045860_1_5-114,none,monomere,Arthropoda (phylum),Insecta (class),Hymenoptera (order),95-117
A0A7M7K8D6_IPR045860_1_301-372,none,monomere,Arthropoda (phylum),Arachnida (class),Mesostigmata (order),50-72
A0A7N8XIT9_IPR045860_1_1-64,Ly6,monomere,Chordata (phylum),Actinopteri (class),Synbranchiformes (order),50-72
A0A7R9IQQ9_IPR045860_1_36-113,none,monomere,Arthropoda (phylum),Insecta (class),Phasmatodea (order),72-95
A0A7R9QP74_IPR045860_1_4-71,none,monomere,Arthropoda (phylum),Arachnida (class),Sarcoptiformes (order),50-72
A0A803JI26_IPR045860_2_106-163,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),50-72
A0A803KDW5_IPR016054_1_28-115,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A803TBF1_IPR016054_1_25-99,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A813M630_IPR045860_1_28-105,none,monomere,Rotifera (phylum),Eurotatoria (class),Bdelloidea (subclass),72-95
A0A813UC31_IPR045860_1_23-86,none,monomere,Rotifera (phylum),Eurotatoria (class),Ploima (order),50-72
A0A814BKN0_IPR045860_1_19-121,none,monomere,Rotifera (phylum),Eurotatoria (class),Ploima (order),95-117
A0A814NNU2_IPR045860_1_23-125,Quiver,monomere,Rotifera (phylum),Eurotatoria (class),Adinetida (order),95-117
A0A815INY4_IPR045860_1_1-72,none,monomere,Rotifera (phylum),Eurotatoria (class),Philodinida (order),50-72
A0A816H0J5_IPR045860_1_18-105,none,monomere,Rotifera (phylum),Eurotatoria (class),Adinetida (order),72-95
A0A817HP88_IPR045860_1_166-222,none,monomere,Rotifera (phylum),Eurotatoria (class),Philodinida (order),50-72
A0A818IE83_IPR045860_1_18-96,none,monomere,Rotifera (phylum),Eurotatoria (class),Philodinida (order),72-95
A0A819FTE7_IPR045860_1_24-94,none,monomere,Rotifera (phylum),Eurotatoria (class),Adinetida (order),50-72
A0A836A292_IPR016054_4_390-485,mostly_Ly6,multimere,Chordata (phylum),Mammalia (class),Artiodactyla (order),72-95
A0A898IJN7_IPR045860_1_14-87,3FTx,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A898IPP4_IPR045860_1_12-84,3FTx,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A8B6ESZ5_IPR045860_1_97-190,none,monomere,Mollusca (phylum),Bivalvia (class),Mytilida (order),72-95
A0A8B6G7Y5_IPR045860_1_14-90,none,monomere,Mollusca (phylum),Bivalvia (class),Mytilida (order),72-95
A0A8B7N4G1_IPR045860_1_27-111,mixture,monomere,Arthropoda (phylum),Malacostraca (class),Amphipoda (order),72-95
A0A8B8AJX4_IPR045860_1_58-146,none,multimere,Mollusca (phylum),Bivalvia (class),Ostreida (order),72-95
A0A8B8BWB6_IPR045860_2_20-107,none,multimere,Mollusca (phylum),Bivalvia (class),Ostreida (order),72-95
A0A8B8EV84_IPR045860_2_128-205,none,multimere,Mollusca (phylum),Bivalvia (class),Ostreida (order),72-95
A0A8B9REN4_IPR016054_1_38-122,mixture,monomere,Chordata (phylum),Actinopteri (class),Characiformes (order),72-95
A0A8C0ZY53_IPR016054_1_206-298,Ly6,monomere,Chordata (phylum),Mammalia (class),Rodentia (order),72-95
A0A8C2TE59_IPR045860_1_103-183,none,monomere,Chordata (phylum),Aves (class),Galliformes (order),72-95
A0A8C3G0E2_IPR045860_1_21-108,Ly6,monomere,Chordata (phylum),Actinopteri (class),Perciformes (order),72-95
A0A8C3I1A9_IPR045860_1_58-110,none,monomere,Chordata (phylum),Testudines (order),Testudines (order),50-72
A0A8C3JMR5_IPR045860_1_1-66,none,monomere,Chordata (phylum),Aves (class),Charadriiformes (order),50-72
A0A8C3QRQ9_IPR045860_1_62-124,none,monomere,Chordata (phylum),Aves (class),Passeriformes (order),50-72
A0A8C3SHN7_IPR045860_1_129-192,Ly6,multimere,Chordata (phylum),Testudines (order),Testudines (order),50-72
A0A8C3XV50_IPR045860_2_113-194,Ly6,mixture,Chordata (phylum),Testudines (order),Testudines (order),72-95
A0A8C5BNB0_IPR016054_1_19-111,Ly6,monomere,Chordata (phylum),Actinopteri (class),Gadiformes (order),72-95
A0A8C5EX94_IPR045860_1_37-103,none,monomere,Chordata (phylum),Testudines (order),Testudines (order),50-72
A0A8C5QT23_IPR045860_1_67-151,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8C5QWN2_IPR045860_1_113-198,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8C5R0B3_IPR045860_1_1-74,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8C5WN98_IPR045860_2_115-166,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
A0A8C5YD85_IPR045860_1_41-104,none,monomere,Chordata (phylum),Mammalia (class),Primates (order),50-72
A0A8C6NTH3_IPR045860_1_20-111,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cyprinodontiformes (order),72-95
A0A8C8AP25_IPR045860_1_24-88,none,monomere,Chordata (phylum),Aves (class),Strigiformes (order),50-72
A0A8C9XVP9_IPR045860_2_103-175,Ly6,multimere,Chordata (phylum),Actinopteri (class),Perciformes (order),72-95
A0A8D0EZ48_IPR045860_1_19-104,mixture,monomere,Chordata (phylum),Aves (class),Aves (class),72-95
A0A8D0HIM1_IPR016054_2_146-237,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Sphenodontia (order),72-95
A0A8E0VDT2_IPR045860_1_15-111,none,monomere,Platyhelminthes (phylum),Trematoda (class),Plagiorchiida (order),95-117
A0A8I6SB10_IPR045860_1_22-108,none,monomere,Arthropoda (phylum),Insecta (class),Hemiptera (order),72-95
A0A8J1JYN3_IPR016054_3_141-215,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8J1LAS0_IPR016054_2_9-64,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),50-72
A0A8J4TKJ5_IPR045860_1_1-85,none,multimere,Chordata (phylum),Actinopteri (class),Characiphysae (superorder),72-95
A0A8J6DP14_IPR045860_1_321-396,Ly6,multimere,Chordata (phylum),Mammalia (class),Eulipotyphla (order),72-95
A0A8J6HTY9_IPR045860_1_22-112,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A8K0EQS4_IPR045860_1_23-106,mixture,monomere,Chordata (phylum),Leptocardii (class),Amphioxiformes (order),72-95
A0A8R1DLR3_IPR031424_1_37-101,Quiver,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0A8S1CNV0_IPR045860_1_20-119,none,monomere,Arthropoda (phylum),Insecta (class),Ephemeroptera (order),95-117
A0A8S1FAB1_IPR045860_1_32-129,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),95-117
A0A8S3R4P8_IPR045860_1_21-109,none,monomere,Mollusca (phylum),Bivalvia (class),Mytilida (order),72-95
A0A8S3YQ65_IPR045860_1_22-120,none,monomere,Mollusca (phylum),Gastropoda (class),Stylommatophora (order),95-117
A0A8S4AV50_IPR045860_1_17-92,none,monomere,Chordata (phylum),Actinopteri (class),Atheriniformes (order),72-95
A0A8S4N9T5_IPR045860_1_233-310,none,monomere,Annelida (phylum),Polychaeta (class),Sabellida (order),72-95
A0A8S9YVM8_IPR045860_1_19-84,none,monomere,Platyhelminthes (phylum),Trematoda (class),Plagiorchiida (order),50-72
A0A8T0AVW3_IPR016054_2_20-103,Ly6,multimere,Chordata (phylum),Actinopteri (class),Siluriformes (order),72-95
A0A8T0BWX1_IPR045860_2_119-200,Ly6,multimere,Chordata (phylum),Actinopteri (class),Siluriformes (order),72-95
A0A8T1RZ21_IPR045860_1_70-138,Ly6,monomere,Chordata (phylum),Testudines (order),Testudines (order),50-72
A0A8T2IQ79_IPR045860_1_104-185,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8T2JDC0_IPR045860_1_36-109,none,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A8T2LIT3_IPR045860_1_18-91,none,monomere,Chordata (phylum),Actinopteri (class),Characiformes (order),72-95
A0A8T2ND24_IPR045860_1_11-87,Ly6,monomere,Chordata (phylum),Actinopteri (class),Albuliformes (order),72-95
A0A8T3CMH6_IPR016054_2_21-102,Ly6,multimere,Chordata (phylum),Actinopteri (class),Albuliformes (order),72-95
A0A8X8BYS0_IPR016054_1_162-239,Ly6,multimere,Chordata (phylum),Cladistia (class),Polypteriformes (order),72-95
A0A913ZNC1_IPR045860_1_59-145,none,monomere,Echinodermata (phylum),Asteroidea (class),Valvatida (order),72-95
A0A914EP76_IPR045860_1_11-89,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A914ISX7_IPR045860_1_80-147,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0A914R9M6_IPR045860_1_17-111,Ly6,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),95-117
A0A914UDC6_IPR045860_1_15-115,Ly6,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),95-117
A0A914X3N0_IPR045860_1_21-78,none,monomere,Nematoda (phylum),Chromadorea (class),Plectida (order),50-72
A0A915C6L5_IPR045860_1_14-103,Ly6,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A974CHI4_IPR045860_1_100-184,Ly6,mixture,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A974HD63_IPR045860_1_1-86,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0A979FND6_IPR045860_1_80-164,none,monomere,Arthropoda (phylum),Malacostraca (class),Amphipoda (order),72-95
A0A9D3NJX0_IPR016054_1_21-102,Ly6,monomere,Chordata (phylum),Actinopteri (class),Siluriformes (order),72-95
A0A9D3T3X9_IPR045860_1_18-107,Ly6,monomere,Chordata (phylum),Actinopteri (class),Elopiformes (order),72-95
A0A9D3XGJ7_IPR045860_1_118-207,Ly6,multimere,Chordata (phylum),Testudines (order),Testudines (order),72-95
A0A9D4E1M1_IPR045860_1_584-660,none,monomere,Mollusca (phylum),Bivalvia (class),Myida (order),72-95
A0A9D4HVP9_IPR045860_1_21-114,none,monomere,Mollusca (phylum),Bivalvia (class),Myida (order),72-95
A0A9D4M2W3_IPR045860_1_38-120,none,monomere,Mollusca (phylum),Bivalvia (class),Myida (order),72-95
A0A9F2RDZ6_IPR045860_1_56-142,Ly6,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A9J6CEZ5_IPR045860_1_72-154,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),72-95
A0A9N9X1L9_IPR045860_1_18-95,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A9P0FMP8_IPR045860_1_23-112,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0A9P0J1I0_IPR045860_1_18-73,none,monomere,Arthropoda (phylum),Insecta (class),Hemiptera (order),50-72
A0A9P1IXK8_IPR045860_1_54-147,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0A9Q0BKZ3_IPR045860_1_130-216,none,monomere,Arthropoda (phylum),Insecta (class),Diptera (order),72-95
A0A9Q0X786_IPR045860_1_18-96,Ly6,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0A9Q0YGM2_IPR045860_1_27-117,none,monomere,Echinodermata (phylum),Holothuroidea (class),Aspidochirotida (order),72-95
A0A9Q1B1W6_IPR045860_1_59-156,none,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),95-117
A0A9Q1ER52_IPR045860_1_19-101,Ly6,multimere,Chordata (phylum),Actinopteri (class),Anguilliformes (order),72-95
A0A9W3FUM6_IPR016054_3_25-125,Ly6,multimere,Chordata (phylum),Mammalia (class),Artiodactyla (order),95-117
A0A9W7TDD7_IPR016054_2_114-192,Ly6,multimere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0A9W9YS46_IPR045860_1_18-104,none,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),72-95
A0A9X0A590_IPR045860_1_17-89,none,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),72-95
A0A9X0A9R1_IPR045860_2_19-106,none,multimere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),72-95
A0AA35KP03_IPR045860_1_1-69,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),50-72
A0AA35KQ17_IPR045860_1_325-408,Ly6,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0AA35QR62_IPR016054_1_21-103,Ly6,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0AA36GTS8_IPR045860_1_17-95,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0AA38M7S8_IPR045860_1_22-110,Quiver,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0AA85K7K8_IPR045860_1_42-119,none,monomere,Platyhelminthes (phylum),Trematoda (class),Strigeidida (order),72-95
A0AA88LV69_IPR016054_2_119-197,Ly6,mixture,Chordata (phylum),Actinopteri (class),Siluriformes (order),72-95
A0AA88MG49_IPR045860_1_1-60,Ly6,multimere,Chordata (phylum),Actinopteri (class),Anabantiformes (order),50-72
A0AA88NH59_IPR045860_1_18-78,none,monomere,Chordata (phylum),Actinopteri (class),Anabantiformes (order),50-72
A0AA88P7G6_IPR045860_2_17-96,mixture,multimere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0AA88TRT6_IPR045860_1_89-167,Ly6,multimere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0AA97J9I8_IPR045860_1_90-174,Ly6,monomere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0AA97KF09_IPR045860_1_117-209,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0AA97KID8_IPR045860_2_112-197,none,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0AAD1SXJ9_IPR045860_1_2-75,Ly6,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAD1T9R7_IPR045860_2_114-197,Ly6,mixture,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAD1WM86_IPR045860_1_17-70,none,monomere,Chordata (phylum),Amphibia (class),Anura (order),50-72
A0AAD1WR05_IPR045860_2_112-200,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAD8BBI5_IPR031424_1_23-104,mixture,monomere,Mollusca (phylum),Gastropoda (class),Lymnaeoidea (superfamily),72-95
A0AAD8EEK7_IPR045860_1_3-61,none,monomere,Arthropoda (phylum),Insecta (class),Blattodea (order),50-72
A0AAD9J8M3_IPR045860_1_52-138,none,monomere,Annelida (phylum),Polychaeta (class),Terebellida (order),72-95
A0AAD9MZU4_IPR045860_1_5-82,none,monomere,Annelida (phylum),Polychaeta (class),Terebellida (order),72-95
A0AAD9QNJ3_IPR045860_1_16-106,Ly6,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),72-95
A0AAD9V724_IPR045860_1_19-119,none,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),95-117
A0AAE0YTR7_IPR045860_1_58-141,mixture,monomere,Mollusca (phylum),Gastropoda (class),Plakobranchidae (family),72-95
A0AAE2D5S9_IPR045860_1_40-103,mixture,monomere,Platyhelminthes (phylum),Trematoda (class),Strigeidida (order),50-72
A0AAF3J4E1_IPR045860_1_19-103,mixture,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0AAJ7PZG7_IPR045860_1_3-92,Ly6,mixture,Chordata (phylum),Actinopteri (class),Percomorphaceae (clade),72-95
A0AAJ7SYE4_IPR045860_1_138-211,none,monomere,Chordata (phylum),Hyperoartia (class),Petromyzontiformes (order),72-95
A0AAN4ZCS2_IPR045860_1_16-96,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0AAN5D6K6_IPR045860_1_14-103,mixture,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0AAN7VAI9_IPR045860_1_21-101,Quiver,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),72-95
A0AAN8KIA5_IPR045860_1_7-85,none,monomere,Mollusca (phylum),Gastropoda (class),Patellidae (family),72-95
A0AAN8QKI5_IPR045860_1_17-93,none,monomere,Chordata (phylum),Actinopteri (class),Salmoniformes (order),72-95
A0AAN9A3X7_IPR045860_1_34-140,none,monomere,Arthropoda (phylum),Malacostraca (class),Decapoda (order),95-117
A0AAQ4PM90_IPR045860_1_14-83,none,monomere,Chordata (phylum),Actinopteri (class),Percomorphaceae (clade),50-72
A0AAU7YDR7_IPR045860_1_57-123,none,monomere,Chordata (phylum),Amphibia (class),Anura (order),50-72
A0AAU9V1I9_IPR045860_1_34-112,none,monomere,Arthropoda (phylum),Insecta (class),Lepidoptera (order),72-95
A0AA97LGX4_IPR045860_1_19-104,Ly6,multimere,Chordata (phylum),Lepidosauria (class),Squamata (order),72-95
A0AAD1T3X4_IPR045860_1_18-103,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAD1T8U5_IPR045860_2_114-198,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAD1WQC3_IPR045860_4_283-370,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAD4R816_IPR045860_1_80-200,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),117-140
A0AAD6B9F0_IPR045860_1_17-89,none,monomere,Chordata (phylum),Actinopteri (class),Perciformes (order),72-95
A0AAD7WFY6_IPR045860_2_17-102,none,multimere,Chordata (phylum),Actinopteri (class),Elopomorpha (clade),72-95
A0AAD8G2X8_IPR045860_1_24-141,none,monomere,Chordata (phylum),Actinopteri (class),Acipenseriformes (order),117-140
A0AAD9KJE7_IPR045860_1_2-100,none,monomere,Annelida (phylum),Polychaeta (class),Sabellida (order),95-117
A0AAD9Q6B2_IPR045860_1_25-107,Quiver,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),72-95
A0AAE0SZQ3_IPR045860_1_12-91,none,monomere,Mollusca (phylum),Bivalvia (class),Unionida (order),72-95
A0AAE1EUF5_IPR045860_1_59-141,none,monomere,Arthropoda (phylum),Malacostraca (class),Decapoda (order),72-95
A0AAF3FJU5_IPR045860_1_12-76,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0AAJ7SM78_IPR045860_1_2-56,none,monomere,Chordata (phylum),Hyperoartia (class),Petromyzontiformes (order),50-72
A0AAJ8BBN9_IPR045860_2_115-190,Ly6,multimere,Chordata (phylum),Actinopteri (class),Centropomidae (family),72-95
A0AAN5CTK5_IPR045860_1_18-97,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0AAN8GMJ5_IPR016054_1_19-118,Ly6,mixture,Chordata (phylum),Actinopteri (class),Perciformes (order),95-117
A0AAN8PPI5_IPR045860_1_31-126,none,monomere,Mollusca (phylum),Gastropoda (class),Patellidae (family),95-117
A0AAN8S1K3_IPR045860_1_33-130,none,monomere,Arthropoda (phylum),Insecta (class),Psocodea (order),95-117
A0AAN9H0N8_IPR045860_1_18-105,Ly6,monomere,Chordata (phylum),Actinopteri (class),Cypriniformes (order),72-95
A0AAN9Y4I6_IPR045860_1_3-85,none,monomere,Arthropoda (phylum),Insecta (class),Hemiptera (order),72-95
A0AAQ4RZ65_IPR045860_1_54-149,none,monomere,Chordata (phylum),Actinopteri (class),Perciformes (order),95-117
A0AAR2KBA1_IPR045860_1_8-85,none,monomere,Chordata (phylum),Actinopteri (class),Characiformes (order),72-95
A0AAU9W6W5_IPR045860_1_22-108,none,monomere,Cnidaria (phylum),Anthozoa (class),Scleractinia (order),72-95
A0AAV1N3W5_IPR045860_3_240-327,none,mixture,Chordata (phylum),Actinopteri (class),Euacanthomorphacea (clade),72-95
A0AAV2QD99_IPR045860_1_46-100,none,monomere,Arthropoda (phylum),Malacostraca (class),Euphausiacea (order),50-72
A0AAV2TXJ7_IPR045860_1_18-96,none,monomere,Platyhelminthes (phylum),Trematoda (class),Plagiorchiida (order),72-95
A0AAV2ZPP4_IPR045860_2_93-182,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAV4DMW8_IPR045860_1_26-88,none,monomere,Mollusca (phylum),Gastropoda (class),Plakobranchidae (family),50-72
A0AAV5SHW7_IPR045860_1_5-67,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),50-72
A0AAV5TXE5_IPR045860_1_26-105,none,monomere,Nematoda (phylum),Chromadorea (class),Rhabditida (order),72-95
A0AAV6GIL3_IPR045860_1_31-81,Ly6,monomere,Chordata (phylum),Actinopteri (class),Clupeiformes (order),50-72
A0AAV6Z9D0_IPR016054_3_227-322,Ly6,multimere,Chordata (phylum),Amphibia (class),Anura (order),95-117
A0AAV6ZM70_IPR045860_2_114-196,mixture,mixture,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAV7BHU2_IPR045860_1_30-104,none,monomere,Chordata (phylum),Amphibia (class),Anura (order),72-95
A0AAV7HWG6_IPR045860_1_60-157,none,monomere,Arthropoda (phylum),Insecta (class),Hymenoptera (order),95-117
A0AAV7PXP2_IPR016054_2_144-237,Ly6,multimere,Chordata (phylum),Amphibia (class),Caudata (order),72-95
A0AAV7Q3N2_IPR045860_1_34-126,Ly6,monomere,Chordata (phylum),Amphibia (class),Caudata (order),72-95
A0AAV7V002_IPR045860_1_12-99,none,monomere,Chordata (phylum),Amphibia (class),Caudata (order),72-95
A0AAV8VDB5_IPR045860_1_1-62,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),50-72
A0AAW0MP18_IPR045860_4_282-359,Ly6,multimere,Chordata (phylum),Actinopteri (class),Gobiiformes (order),72-95
A0AAW1KMF1_IPR045860_1_29-131,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),95-117
A0AAW1UL86_IPR045860_1_68-169,none,monomere,Arthropoda (phylum),Insecta (class),Coleoptera (order),95-117
A0AAW1ZBB9_IPR045860_2_144-260,none,mixture,Chordata (phylum),Actinopteri (class),Cypriniformes (order),95-117
A0AAX6SC57_IPR045860_1_44-100,Ly6,monomere,Chordata (phylum),Mammalia (class),Rodentia (order),50-72
A0AAY4BY05_IPR045860_1_22-139,none,multimere,Chordata (phylum),Actinopteri (class),Clupeiformes (order),117-140
A0AAY4EL95_IPR045860_1_30-106,none,monomere,Chordata (phylum),Actinopteri (class),Clupeiformes (order),72-95
