Entry	Organism (ID)	InterPro	Pfam	Protein names
A0A091CQH1	885580	IPR016054;IPR045860;IPR035076;	PF00087;	CD59 glycoprotein
A0A091CTJ2	885580	IPR016054;IPR045860;	PF00021;	Ly6/PLAUR domain-containing protein 1
A0A091CTZ3	885580	IPR016054;IPR039237;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A091D2E0	885580	IPR016054;IPR045860;IPR046354;	PF00021;	Sperm acrosome membrane-associated protein 4
A0A091D3Y0	885580	IPR018363;IPR051110;IPR016054;IPR045860;	PF00021;	Secreted Ly-6/uPAR-related protein 2
A0A091D3Y3	885580	IPR052874;IPR035076;	PF00087;	Glycosyl-phosphatidylinositol-anchored molecule-like protein
A0A091D3Y7	885580	IPR016054;IPR051445;IPR045860;	PF00021;	Lymphocyte antigen 6H
A0A091D6W6	885580	IPR051110;IPR045860;IPR035076;	PF00087;	Secreted Ly-6/uPAR-related protein 1
A0A091D6W9	885580	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Ly-6/neurotoxin-like protein 1
A0A091D8L2	885580	IPR018363;IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Ly6/PLAUR domain-containing protein 2
A0A091D8L9	885580	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6E
A0A091D983	885580	IPR018363;IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Prostate stem cell antigen
A0A091DTL5	885580	IPR018363;IPR016054;IPR045860;	PF00021;	Ly6/PLAUR domain-containing protein 5
A0A091DTN5	885580	IPR051899;IPR016054;IPR045860;	PF00021;	Ly6/PLAUR domain-containing protein 4
A0A091DUC1	885580	IPR039457;IPR045860;	PF16975;	Ly6/PLAUR domain-containing protein 6B
A0A091DVJ4	885580	IPR018363;IPR016054;IPR042339;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6D
A0A091EJZ7	85066	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A091GTX4	175836	IPR045860;		Uncharacterized protein
A0A091I401	9244	IPR045860;		Uncharacterized protein
A0A091JCE0	188379	IPR045860;		Uncharacterized protein
A0A091MPA6	57068	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A091Q6K5	188344	IPR045860;		Uncharacterized protein
A0A091SI96	36300	IPR045860;		Uncharacterized protein
A0A091WBG4	30419	IPR045860;		Uncharacterized protein
A0A093DNU1	121530	IPR045860;		Uncharacterized protein
A0A093HE24	441894	IPR045860;		Uncharacterized protein
A0A094ZIJ8	6185	IPR031424;IPR050975;	PF17064;	Protein quiver
A0A094ZQS8	6185	IPR045860;		Uncharacterized protein
A0A094ZSD5	6185	IPR031424;IPR050975;	PF17064;	Protein quiver
A0A094ZSP5	6185	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A094ZV75	6185	IPR031424;IPR050975;	PF17064;	Uncharacterized protein
A0A095A0M7	6185	IPR045860;		Uncharacterized protein
A0A095AE77	6185	IPR031424;	PF17064;	Protein quiver
A0A095AM34	6185	IPR045860;		Low affinity cationic amino acid transporter
A0A095C2Q4	6185	IPR031424;	PF17064;	Protein quiver
A0A096LTF5	48698	IPR050918;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A096LVI9	48698	IPR045860;		UPAR/Ly6 domain-containing protein
A0A096LZ01	48698	IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A096M1M4	48698	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	UPAR/Ly6 domain-containing protein
A0A096M2L6	48698	IPR045860;		LY6/PLAUR domain containing 1
A0A096M2V8	48698	IPR050918;IPR016054;IPR045860;IPR035076;	PF00087;PF00021;	UPAR/Ly6 domain-containing protein
A0A096MB97	48698	IPR045860;IPR046354;		UPAR/Ly6 domain-containing protein
A0A096MJ36	10116	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6D-like
A0A096MK57	10116	IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6D-like
A0A096MPM7	9555	IPR016054;IPR029691;	PF00021;	Prostate and testis expressed 2
A0A096MUG9	9555	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	UPAR/Ly6 domain-containing protein
A0A096MWX2	9555	IPR016054;	PF00021;	Prostate and testis expressed 3
A0A096N8M4	9555	IPR016054;IPR051445;IPR045860;	PF00021;	Lymphocyte antigen 6 family member L
A0A096NFC0	9555	IPR016054;IPR045860;	PF00021;	LY6/PLAUR domain containing 1
A0A096NFG6	9555	IPR016054;	PF00021;	Prostate and testis expressed 4
A0A096NGP0	9555	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	LY6/PLAUR domain containing 2
A0A096NQH9	9555	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Prostate stem cell antigen
A0A096NSN2	9555	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6B
A0A096NSN3	9555	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6
A0A096NZ74	9555	IPR051110;IPR016054;IPR045860;	PF00021;	Secreted LY6/PLAUR domain containing 2
A0A097F1I7	6192	IPR045860;IPR035076;	PF00087;	CD59-like protein
A0A097F1J3	6192	IPR045860;		CD59-like protein
A0A097F1L5	6192	IPR045860;IPR035076;	PF00087;	CD59-like protein
A0A097F1L7	6192	IPR045860;		CD59-like protein
A0A097F1N1	6192	IPR045860;IPR035076;	PF00087;	CD59-like protein
A0A098LWQ5	51751	IPR003571;IPR045860;		Three finger toxin
A0A098LWU4	186591	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	3Ftx
A0A098LWU5	186591	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	3Ftx
A0A098LWV2	186591	IPR045860;IPR035076;	PF00087;	3Ftx A
A0A098LWV3	186591	IPR003571;IPR045860;IPR054131;	PF21947;	3Ftx B
A0A098LWZ2	94885	IPR045860;IPR035076;	PF00087;	Three finger toxin
A0A098LWZ6	94885	IPR045860;IPR035076;	PF00087;	Three finger toxin
A0A098LY55	51751	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three finger toxin
A0A098LY58	481883	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6E-like protein
A0A098LY61	51751	IPR003571;IPR045860;IPR054131;	PF21947;	Three finger toxin
A0A098LY67	51751	IPR018363;IPR045860;IPR035076;	PF00087;	Three finger toxin
A0A098LYA2	186591	IPR003571;IPR045860;IPR054131;	PF21947;	3Ftx
A0A098LYB1	186591	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	3Ftx
A0A098LYD0	186591	IPR045860;IPR035076;	PF00087;	3Ftx A
A0A098LYG6	94885	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three finger toxin (Toxin 3FTx-Dis4-like)
A0A098LYH6	94885	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three finger toxin (Toxin 3FTx-Dis4-like)
A0A098LYI1	94885	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three finger toxin
A0A098LYI5	94885	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three finger toxin
A0A098M253	1550645	IPR003571;IPR045860;		Three-finger toxin
A0A0A0AJ30	50402	IPR045860;		Uncharacterized protein
A0A0A0QU97	8319	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor beta isoform 02
A0A0A0QUX9	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor beta isoform 26
A0A0A1WCI9	64175	IPR003571;IPR045860;IPR054131;	PF21947;	3 Finger toxin B
A0A0A1WCZ0	64175	IPR018363;IPR045860;IPR035076;	PF00087;	3 Finger toxin A
A0A0A1WGB4	28588	IPR045860;		Lymphocyte antigen 6 complex locus protein G6d
A0A0A1WN45	28588	IPR031424;IPR050975;	PF17064;	Putative histone-lysine N-methyltransferase PFF1440w
A0A0A1WNK1	28588	IPR031424;IPR050975;IPR045860;	PF17064;	Protein quiver
A0A0A1WPV7	28588	IPR031424;IPR050975;	PF17064;	Phospholipase A1-Ialpha2, chloroplastic
A0A0A1WU61	28588	IPR031424;IPR050975;	PF17064;	Protein TIF31 homolog
A0A0A1WV64	28588	IPR031424;IPR050975;IPR045860;	PF17064;	Proto-oncogene tyrosine-protein kinase ROS
A0A0A1WWD6	28588	IPR031424;IPR050975;	PF17064;	Probable alpha-galactosidase B
A0A0A1WZQ0	28588	IPR031424;IPR050975;	PF17064;	3-hydroxyanthranilate 3,4-dioxygenase
A0A0A1XBQ5	28588	IPR031424;IPR050975;	PF17064;	Secreted Ly-6/uPAR-related protein 1
A0A0A1XED3	28588	IPR031424;IPR050975;	PF17064;	Lymphocyte antigen 6I
A0A0A1XG12	28588	IPR031424;IPR050975;	PF17064;	Cytosolic 5'-nucleotidase 3
A0A0A1XHA5	28588	IPR031424;IPR050975;	PF17064;	Probable alpha-galactosidase B
A0A0A1XLH2	28588	IPR031424;IPR050975;	PF17064;	Methionine synthase
A0A0A9W9P3	30085	IPR031424;IPR050975;IPR045860;	PF17064;	Putative cellulose synthase A catalytic subunit 3 [UDP-forming]
A0A0A9WF08	30085	IPR031424;IPR050975;	PF17064;	Tyrosine--tRNA ligase
A0A0A9WPE3	30085	IPR031424;IPR050975;IPR045860;	PF17064;	Protein quiver
A0A0A9WYG5	30085	IPR031424;IPR050975;IPR045860;	PF17064;	Uncharacterized protein
A0A0A9WZJ0	30085	IPR031424;IPR050975;IPR045860;	PF17064;	Protein quiver
A0A0A9XZ32	30085	IPR031424;IPR050975;	PF17064;	Protein quiver
A0A0A9XZB9	30085	IPR031424;IPR050975;	PF17064;	Putative E3 ubiquitin-protein ligase ARI4
A0A0A9Z8P9	30085	IPR031424;IPR050975;	PF17064;	Angiopoietin-related protein 3
A0A0A9ZFY9	30085	IPR031424;IPR050975;	PF17064;	Uncharacterized protein
A0A0B1S3M7	61180	IPR045860;		ET module
A0A0B1S4F8	61180	IPR045860;		ET module
A0A0B1S4J6	61180	IPR045860;		ET module
A0A0B1S9G5	61180	IPR045860;		ET module
A0A0B1SAJ5	61180	IPR045860;		ET module
A0A0B1SB51	61180	IPR045860;		ET module
A0A0B1SDH3	61180	IPR045860;		ET module
A0A0B1SEK9	61180	IPR045860;		ET module
A0A0B1SUF3	61180	IPR045860;		ET module
A0A0B1SVL0	61180	IPR045860;		ET module
A0A0B1SZ18	61180	IPR045860;		ET module
A0A0B1T0H7	61180	IPR045860;		Activin types I and II receptor domain protein
A0A0B1TBH2	61180	IPR000472;IPR045860;	PF01064;	Activin types I and II receptor domain-containing protein
A0A0B1TBK8	61180	IPR031424;	PF17064;	Protein quiver
A0A0B1TGJ1	61180	IPR045860;		ET module
A0A0B1TH82	61180	IPR045860;		ET module
A0A0B1TNI6	61180	IPR045860;		ET module
A0A0B1TPQ1	61180	IPR045860;		ET module
A0A0B1TRX9	61180	IPR031424;	PF17064;	Protein quiver
A0A0B2UQY7	6265	IPR045860;		Uncharacterized protein
A0A0B2UV57	6265	IPR045860;		Uncharacterized protein
A0A0B2UWC5	6265	IPR045860;	PF16975;	Activin_recp domain-containing protein
A0A0B2UXV3	6265	IPR045860;		UPAR/Ly6 domain-containing protein
A0A0B2V0F1	6265	IPR045860;		UPAR/Ly6 domain-containing protein
A0A0B2V4Y2	6265	IPR045860;		UPAR/Ly6 domain-containing protein
A0A0B2V788	6265	IPR045860;		Uncharacterized protein
A0A0B2V8N7	6265	IPR045860;		UPAR/Ly6 domain-containing protein
A0A0B2V963	6265	IPR045860;		Activin_recp domain-containing protein
A0A0B2VBX8	6265	IPR045860;		Activin types I and II receptor domain-containing protein
A0A0B2VCP7	6265	IPR045860;		Activin_recp domain-containing protein
A0A0B2VCU5	6265	IPR031424;IPR045860;	PF17064;	Protein quiver
A0A0B2VD14	6265	IPR045860;		UPAR/Ly6 domain-containing protein
A0A0B2VFY5	6265	IPR045860;		Uncharacterized protein
A0A0B2VLH6	6265	IPR045860;		Uncharacterized protein
A0A0B2VMR3	6265	IPR031424;IPR050975;	PF17064;	Protein sleepless
A0A0B2VQR9	6265	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A0B2VRR2	6265	IPR000472;IPR045860;	PF01064;	Activin types I and II receptor domain-containing protein
A0A0B2VSS3	6265	IPR045860;		Activin_recp domain-containing protein
A0A0B2VT48	6265	IPR031424;	PF17064;	Protein sleepless
A0A0B2VWJ1	6265	IPR031424;IPR050975;	PF17064;	Protein quiver
A0A0B2W0F0	6265	IPR045860;		Activin_recp domain-containing protein
A0A0B2W0K1	6265	IPR045860;		Activin_recp domain-containing protein
A0A0B2W4B8	6265	IPR031424;	PF17064;	Protein sleepless
A0A0B5GR32	256425	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor 4
A0A0B5GR41	256425	IPR045860;		Sodefrin-like factor 16
A0A0B5GR50	256425	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor 30
A0A0B5GUZ6	256425	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor 5
A0A0B5GV01	256425	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor 10
A0A0B5GV15	256425	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor 31
A0A0B5H1E4	256425	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor 1
A0A0B5H1E8	256425	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor 6
A0A0B5H1F9	256425	IPR050918;IPR045860;		Sodefrin-like factor 19
A0A0B5H3M7	256425	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor 2
A0A0B5H3N1	256425	IPR050918;IPR045860;		Sodefrin-like factor 7
A0A0B5H3N9	256425	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor 20
A0A0B5H3P1	256425	IPR050918;IPR045860;		Sodefrin-like factor 28
A0A0B5H6P2	256425	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor 3
A0A0B5H6P6	256425	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor 8
A0A0B5H6P8	256425	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor 15
A0A0B5JFR7	128390	IPR045860;		HEP21
A0A0B6Y8B9	1028688	IPR050918;IPR045860;		UPAR/Ly6 domain-containing protein
A0A0B7BB00	1028688	IPR045860;IPR000333;		Uncharacterized protein
A0A0B8RS19	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 8e
A0A0B8RS22	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 7d
A0A0B8RS24	1899461	IPR003571;IPR045860;IPR054131;	PF21947;	Three-finger toxin 6b
A0A0B8RS37	1899461	IPR003571;IPR045860;IPR054131;	PF21947;	Three-finger toxin 4b
A0A0B8RS39	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 3b (Three-finger toxin 3h)
A0A0B8RS42	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 3c (Three-finger toxin 3e) (Three-finger toxin 3f) (Three-finger toxin 3g) (Three-finger toxin 3i)
A0A0B8RS43	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 2e
A0A0B8RS45	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 1f
A0A0B8RS46	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 1a
A0A0B8RS48	1899461	IPR003571;IPR045860;IPR054131;	PF21947;	Three-finger toxin 10e
A0A0B8RSX8	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 8b (Three-finger toxin 8d)
A0A0B8RSY0	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 7c
A0A0B8RSY1	1899461	IPR003571;IPR045860;IPR054131;	PF21947;	Three-finger toxin 6a
A0A0B8RSY6	1899461	IPR003571;IPR045860;IPR054131;	PF21947;	Three-finger toxin 4a
A0A0B8RSZ0	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 2d
A0A0B8RSZ1	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 1e
A0A0B8RSZ2	1899461	IPR003571;IPR045860;IPR035076;	PF00087;	Three-finger toxin 10i
A0A0B8RSZ3	1899461	IPR003571;IPR045860;IPR054131;	PF21947;	Three-finger toxin 10d
A0A0B8RV99	1899461	IPR003571;IPR045860;IPR018354;IPR035076;	PF00087;	Three-finger toxin 9g
A0A0B8RVA2	1899461	IPR003571;IPR045860;IPR018354;IPR035076;	PF00087;	Three-finger toxin 9b
A0A0B8RVA3	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 8c
A0A0B8RVA5	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 7b
A0A0B8RVA6	1899461	IPR003571;IPR045860;IPR054131;	PF21947;	Three-finger toxin 5
A0A0B8RVB2	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 3k
A0A0B8RVB7	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 3a
A0A0B8RVB9	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 2c
A0A0B8RVC5	1899461	IPR003571;IPR045860;		Three-finger toxin 10c
A0A0B8RYW2	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 9f
A0A0B8RYW4	1899461	IPR003571;IPR045860;IPR018354;IPR035076;	PF00087;	Three-finger toxin (Three-finger toxin 9c) (Three-finger toxin 9d)
A0A0B8RYW8	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 7a
A0A0B8RYX1	1899461	IPR003571;IPR045860;IPR054131;	PF21947;	Three-finger toxin 4d
A0A0B8RYX5	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 3j
A0A0B8RYY0	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 2g
A0A0B8RYY3	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 2b
A0A0B8RYY5	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 1c
A0A0B8RYY9	1899461	IPR003571;IPR045860;IPR035076;	PF00087;	Three-finger toxin 10b (Three-finger toxin 10g) (Three-finger toxin 10h)
A0A0B8RZC3	1899461	IPR016054;IPR045860;		CD59 glycoprotein
A0A0B8RZW9	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 9e
A0A0B8RZX0	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 8f
A0A0B8RZX1	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 8a
A0A0B8RZX2	1899461	IPR003571;IPR045860;		Three-finger toxin 6c
A0A0B8RZX3	1899461	IPR003571;IPR045860;IPR054131;	PF21947;	Three-finger toxin 4c
A0A0B8RZX5	1899461	IPR003571;IPR045860;IPR054131;	PF21947;	Three-finger toxin 3d
A0A0B8RZX6	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 2f
A0A0B8RZX7	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 2a
A0A0B8RZX8	1899461	IPR003571;IPR045860;IPR018354;IPR054131;	PF21947;	Three-finger toxin 1b (Three-finger toxin 1d)
A0A0B8RZX9	1899461	IPR003571;IPR045860;IPR035076;	PF00087;	Three-finger toxin 10f
A0A0B8RZY0	1899461	IPR003571;IPR045860;IPR035076;	PF00087;	Three-finger toxin 10a
A0A0C2C215	51022	IPR045860;		Activin types I and II receptor domain protein
A0A0C2CKY2	51022	IPR045860;		Uncharacterized protein
A0A0C2CZA6	51022	IPR045860;		ET module
A0A0C2DBA9	51022	IPR045860;		ET module
A0A0C2DF18	51022	IPR045860;		ET module
A0A0C2DS65	51022	IPR031424;IPR050975;IPR045860;	PF17064;	Protein sleepless
A0A0C2FAC2	51022	IPR031424;	PF17064;	Uncharacterized protein
A0A0C2FRZ3	51022	IPR031424;	PF17064;	Protein quiver
A0A0C2FSU3	51022	IPR045860;		Uncharacterized protein
A0A0C2G9W1	51022	IPR031424;	PF17064;	Protein quiver
A0A0C2GCG1	51022	IPR045860;		ET module
A0A0C2GT18	51022	IPR031424;	PF17064;	Protein quiver
A0A0C2GZC8	51022	IPR045860;		Uncharacterized protein
A0A0C2H195	51022	IPR045860;		Uncharacterized protein
A0A0C2H646	51022	IPR045860;		Protein sleepless
A0A0C2HA97	51022	IPR045860;		ET module
A0A0C2MUM4	669202	IPR000472;IPR045860;	PF01064;	Activin types I and II receptor domain-containing protein
A0A0C2NE02	669202	IPR045860;		Uncharacterized protein
A0A0C9PJ93	64838	IPR045860;		KCTD19 protein
A0A0C9PLL2	64838	IPR051110;IPR045860;		IleS_0 protein (IleS_2 protein) (IleS_3 protein)
A0A0C9PRI2	64838	IPR031424;	PF17064;	PheS_1 protein
A0A0C9Q2S4	64838	IPR031424;IPR050975;	PF17064;	Aat protein
A0A0C9Q3W5	64838	IPR045860;		Syncc9605_0201 protein
A0A0C9QIU4	64838	IPR031424;IPR050975;	PF17064;	Dxr_0 protein
A0A0C9QJG6	64838	IPR045860;		TX66 protein
A0A0C9QQ49	64838	IPR031424;IPR050975;	PF17064;	Qvr_1 protein
A0A0C9R6C6	64838	IPR031424;	PF17064;	PheS_0 protein
A0A0C9RAR3	64838	IPR031424;IPR050975;IPR045860;	PF17064;	PheS_2 protein
A0A0C9RX20	6943	IPR031424;IPR050975;IPR045860;	PF17064;	Putative conserved plasma membrane protein
A0A0D6L569	53326	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A0D6L9P3	53326	IPR045860;		Uncharacterized protein
A0A0D6LDG3	53326	IPR045860;		Activin types I and II receptor domain-containing protein
A0A0D6LIU7	53326	IPR045860;		Protein sleepless
A0A0D6LJ25	53326	IPR045860;		ET module
A0A0D6LYI9	53326	IPR045860;		Activin types I and II receptor domain-containing protein
A0A0D6M2K5	53326	IPR031424;IPR050975;	PF17064;	Protein quiver
A0A0D6MAI7	53326	IPR045860;		ET module
A0A0D8XA78	29172	IPR045860;		ET module
A0A0D8XAM2	29172	IPR031424;	PF17064;	Protein quiver
A0A0D8XCA3	29172	IPR045860;		ET module
A0A0D8XIH5	29172	IPR045860;		ET module
A0A0D8XM76	29172	IPR045860;		ET module
A0A0D8XP23	29172	IPR045860;IPR035076;	PF00087;	Snake toxin/toxin-like domain-containing protein
A0A0D8XV41	29172	IPR031424;IPR050975;IPR045860;	PF17064;	Protein quiver
A0A0D8XVK1	29172	IPR045860;		Protein sleepless
A0A0D8Y229	29172	IPR045860;		Uncharacterized protein
A0A0D8Y3R0	29172	IPR031424;	PF17064;	Protein quiver
A0A0D8Y5C3	29172	IPR031424;	PF17064;	Protein sleepless
A0A0D8Y9T3	29172	IPR045860;		Uncharacterized protein
A0A0D8YBD9	29172	IPR045860;		ET module
A0A0D9R8B6	60711	IPR016054;IPR038773;IPR045860;	PF00021;	Casein kinase 2 beta
A0A0D9R8I0	60711	IPR016054;IPR039237;IPR045860;	PF00021;	Lymphocyte antigen 6 family member G6C
A0A0D9R9W1	60711	IPR016054;IPR051445;IPR045860;	PF00021;	Lymphocyte antigen 6 family member L
A0A0D9R9X3	60711	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Lymphocyte antigen 6 family member E
A0A0D9R9Z4	60711	IPR018363;IPR016054;IPR045860;IPR052874;	PF00021;	Glycosylphosphatidylinositol anchored molecule like
A0A0D9RA14	60711	IPR051110;IPR016054;IPR045860;	PF00021;	UPAR/Ly6 domain-containing protein
A0A0D9RA23	60711	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	LY6/PLAUR domain containing 2
A0A0D9RA48	60711	IPR045860;IPR052874;IPR035076;	PF00087;	Lymphocyte antigen 6 family member K
A0A0D9RA72	60711	IPR051110;IPR016054;IPR045860;IPR035076;	PF00087;	Prostate stem cell antigen
A0A0D9RUD0	60711	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6
A0A0D9RUD5	60711	IPR039457;IPR045860;	PF16975;	LY6/PLAUR domain containing 6B
A0A0D9S1B1	60711	IPR050918;IPR016054;IPR004126;IPR045860;	PF02988;PF00021;	Phospholipase A2 inhibitor and LY6/PLAUR domain containing
A0A0D9S4F7	60711	IPR016054;	PF00021;	Prostate and testis expressed 3
A0A0D9S4G1	60711	IPR016054;IPR045860;	PF00021;	Prostate and testis expressed 1
A0A0D9S4G3	60711	IPR016054;IPR029691;	PF00021;	Prostate and testis expressed 2
A0A0D9S4G5	60711	IPR016054;IPR045860;	PF00021;	Prostate and testis expressed 4
A0A0E3H594	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3H595	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3H596	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3H599	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3H5A0	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3H5A1	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3H5A2	8316	IPR045860;		Sodefrin-like factor
A0A0E3KK03	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3KK04	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3KK08	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3KK09	8316	IPR045860;		Sodefrin-like factor
A0A0E3KK10	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3KSM4	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3KSM6	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3KSN3	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3KSN4	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3KSN6	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3KSN9	8316	IPR050918;IPR045860;		Sodefrin-like factor
A0A0E3N0I6	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3N0J1	8316	IPR050918;IPR045860;		Sodefrin-like factor
A0A0E3N0J7	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3N0K1	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3N2L9	8316	IPR050918;IPR045860;		Sodefrin-like factor
A0A0E3N2M3	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3N3K8	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3N3L9	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
A0A0E3N4N8	8316	IPR050918;IPR016054;IPR045860;	PF00021;	Sodefrin-like factor
