identifier,group
A0A0N7Z8L7_IPR031424_1_1-96,none
A0A226D9A1_IPR031424_1_22-146,none
A0A430Q269_IPR031424_1_12-85,mixture
A0A7G3AEM8_IPR031424_1_22-132,none
A0A813T882_IPR031424_1_22-85,none
A0A8E0S444_IPR031424_1_11-75,mixture
A0A8J2MGA1_IPR031424_1_34-129,Quiver
A0A9N9TW70_IPR045860_1_30-141,none
A0A1A9WMM2_IPR045860_1_73-127,none
A0A1I7ZF94_IPR045860_1_20-108,mixture
A0A1I8GI43_IPR045860_2_42-107,none
A0A1L8D734_IPR045860_1_10-84,none
A0A2K6SQ93_IPR045860_1_1-52,none
A0A674NWW4_IPR045860_1_5-63,none
A0A6A4XF14_IPR045860_1_165-216,none
A0A6S7FX41_IPR045860_1_1-90,none
A0A8C2V8N2_IPR045860_1_66-131,none
A0A8C4ERD5_IPR045860_1_1-52,none
A0A8C5DI65_IPR045860_1_1-57,mixture
A0AAE0QIX2_IPR045860_1_3-54,none
A0AAV2TDN9_IPR045860_1_12-108,none
A0AAV5UKY8_IPR045860_1_33-83,none
A0AAW0Q3I2_IPR045860_1_17-66,none
C3Z070_IPR045860_2_49-117,none
F6XDW5_IPR045860_1_18-102,mixture
H5ZVL1_IPR045860_1_1-59,none
R7U1I8_IPR045860_1_22-111,mixture
Centipede3FTx_0058_1255758,manually_annotated
U3FVH6_IPR045860_1_13-84,mixture
A0A6J0XUD7_IPR026110_1_102-157,none
A0A8C2VN21_IPR026110_1_2-122,none
A0A498MKX1_IPR016054_7_441-529,mixture
A0A553PRQ5_IPR045860_1_2-77,mixture
A0A8C6CBQ9_IPR045860_1_66-121,none
A0A9Q0X962_IPR045860_1_197-275,mixture
A0AA88NKS8_IPR045860_1_19-95,mixture
A0A151M3Y2_IPR016054_1_435-494,Ly6
A0A2K5VKS7_IPR045860_3_109-167,mixture
A0A401RHQ3_IPR016054_1_114-208,mixture
A0AAJ6ZQI6_IPR045860_1_29-136,mixture
A0AAV8VLN0_IPR045860_1_4-88,mixture
A0A0H5SL74_IPR045860_1_32-116,mixture
A0A0N4ZNP5_IPR045860_1_33-104,none
A0A6M2DXW3_IPR045860_1_28-107,mixture
A0A6P7RFQ4_IPR045860_1_97-148,mixture
A0A6P9FLX0_IPR045860_1_12-64,none
A0A6S7GKF8_IPR045860_1_19-105,mixture
A0A7M5U9W9_IPR045860_1_20-115,none
A0A7M7RHR6_IPR045860_1_25-107,none
A0A814HFH1_IPR045860_1_20-93,mixture
A0A815B2Q3_IPR045860_1_17-74,none
A0A2D4PI90_IPR045860_1_3-66,mixture
A0A2Y9P282_IPR045860_2_21-157,mixture
A0A1D2NLN9_IPR031424_1_47-153,none
A0A5E4M857_IPR031424_1_22-151,none
A0A820IC74_IPR031424_1_22-88,mixture
A0A8S1CCR9_IPR031424_1_91-198,none
G3VP90_IPR016054_3_210-302,none
A0A1L6Z9Z9_IPR026524_1_1-81,none
A0A1A8RI45_IPR039457_1_1-66,Ly6
A0A7R9G4N8_IPR039457_1_19-129,Ly6
A0A8F8ASX3_IPR045860_1_58-126,mixture
A0A8T0BCI2_IPR045860_1_1-59,none
A0A915KCD7_IPR045860_1_23-123,none
A0A9F3W1W6_IPR045860_1_17-97,none
A0A9Q1AX85_IPR045860_1_8-68,mostly_Ly6
A0A9X0A5Y2_IPR045860_1_18-78,Ly6
A0AAD3R410_IPR045860_2_83-145,mixture
A0AAF3J618_IPR045860_1_16-105,none
J9ABH8_IPR045860_1_2-67,none
L8IZU0_IPR045860_1_26-80,none
A0A8W8J872_IPR045860_1_62-157,none
A0A9J7NCX6_IPR045860_1_18-132,mixture
A0A9P1HUP2_IPR045860_1_96-187,none
A0A9X0A6N9_IPR045860_1_22-111,none
A0AA97KGB0_IPR045860_1_83-147,none
A0AAD9K836_IPR045860_1_33-114,mixture
A0AAU9WAK8_IPR045860_1_10-116,mixture
A0AAV2RSX4_IPR045860_1_63-119,none
A0AAW1AXJ7_IPR045860_1_17-75,Ly6
A0ABD2XGH3_IPR045860_1_42-140,none
A0A7J8GS23_IPR039237_1_3-72,mixture
A0A8C8TND6_IPR039237_1_1-58,mixture
A0A8U0T7Y1_IPR026110_1_1-159,none
A0A2I0TVD9_IPR045860_1_8-59,none
A0A3B5MB32_IPR045860_2_5-54,Ly6
R0LJ75_IPR045860_1_76-155,mixture
S7PTS4_IPR016054_3_2-57,Ly6
W5NTR4_IPR045860_1_33-127,Ly6
A0A2K6PKA5_IPR039457_1_1-97,mostly_Ly6
A0AAD9L2I6_IPR039457_1_14-173,none
A0A1D2M2Q1_IPR031424_1_32-134,none
A0A1S3DL79_IPR031424_1_4-65,mixture
A0A2S2QSA9_IPR031424_1_24-175,mixture
A0A6P7G9F3_IPR031424_1_22-137,none
A0A815BT65_IPR031424_1_24-73,none
A0A8J2P850_IPR031424_1_19-120,none
A0A8S4RWH0_IPR031424_1_13-63,none
A0A9P0LHQ8_IPR031424_1_25-138,mixture
A0AAV8Z602_IPR045860_1_2-95,mixture
Q176Q6_IPR031424_1_25-82,none
T1IWT8_IPR031424_2_22-103,none
A0A1B0G4Y0_IPR045860_1_7-84,mixture
A0A1D1VK48_IPR045860_1_6-74,Quiver
A0A1I7ZN97_IPR045860_1_56-107,none
A0A1U7SQ44_IPR045860_1_105-193,mixture
A0A238BWE3_IPR045860_1_11-96,none
A0A261AWE7_IPR045860_1_94-209,none
A0A2A6B8E8_IPR045860_1_8-106,none
A0A2G9RKC4_IPR045860_1_26-90,Ly6
A0A3B4B9F7_IPR045860_1_16-73,Ly6
A0A3M6TKR6_IPR045860_1_14-123,none
A0A3M7QQQ6_IPR045860_1_43-114,mixture
A0A3P6SZG6_IPR045860_1_17-95,none
A0A3Q3X9G9_IPR045860_1_50-164,Ly6
A0A5N5T244_IPR045860_1_3-68,none
A0A6F9BK46_IPR045860_1_9-62,none
A0A6P8I7G2_IPR045860_1_21-114,none
A0A6P8SJ10_IPR045860_2_18-80,Ly6
A0A7M6DNM3_IPR045860_1_44-135,none
A0A811U775_IPR045860_1_1-57,none
A0A818HBP9_IPR045860_1_24-80,none
A0A8C2SA02_IPR045860_1_68-128,none
A0A8C4RTV8_IPR045860_1_16-97,Ly6
A0A8C9FRH0_IPR045860_1_11-97,Ly6
A0A8J6E8Q3_IPR045860_1_1-53,Ly6
A0A8R1Y214_IPR045860_1_226-296,mixture
A0A914NHW3_IPR045860_1_204-296,none
A0A914THE1_IPR045860_1_6-74,none
A0A9J7KD64_IPR045860_1_41-149,none
A0A9J7Z2T9_IPR045860_1_25-103,none
A0A9P0GIB7_IPR045860_2_19-101,mixture
A0A9P1IQ79_IPR045860_1_15-101,none
A0A9X9MBQ9_IPR045860_1_41-93,none
A0AA35SQM2_IPR045860_1_20-119,none
A0AA36C7K6_IPR045860_1_52-143,none
A0AAN9B562_IPR045860_1_229-312,mixture
A0AAV7ME30_IPR045860_2_45-153,none
A0AAW1B171_IPR045860_1_3-61,mostly_Ly6
A0ABD1JAD3_IPR045860_1_1-71,none
A0ABD2MVB5_IPR045860_1_21-108,none
D8LTZ0_IPR045860_1_33-93,none
A0A401Q604_IPR045860_1_2-78,mixture
A0A670INU5_IPR045860_2_163-236,Ly6
A0A6B0SDN0_IPR016054_1_1-78,Ly6
A0A6P8I7U6_IPR045860_2_109-194,mixture
A0A8J1LAS0_IPR016054_1_9-64,Ly6
A0AAV7Q3J4_IPR016054_1_58-128,Ly6
A0A7L0RV53_IPR039457_1_2-155,mixture
A0A8C5IIX8_IPR039457_1_94-149,mixture
A0A0D8Y3R0_IPR031424_1_21-144,mixture
A0AAV8Z6D1_IPR031424_1_68-200,mixture
K1S039_IPR031424_1_78-175,mixture
A0A0M3IZ09_IPR045860_1_41-118,none
A0A1D1VR81_IPR045860_1_26-119,mixture
A0A1I7ZPI2_IPR045860_1_29-86,Ly6
A0A1L8EZ01_IPR045860_1_18-83,none
A0A267E0W6_IPR045860_1_23-118,none
A0A3Q0R1F3_IPR045860_1_2-62,Ly6
A0A0N4ZQ95_IPR045860_1_27-125,none
A0A0Q3VBE2_IPR045860_1_9-64,mixture
A0A158PC07_IPR045860_1_12-107,none
A0A1D1W9J0_IPR045860_1_43-95,none
A0A210Q9V6_IPR045860_2_2-73,Ly6
A0A226DLD2_IPR045860_1_20-136,none
A0A7R9A6H2_IPR045860_1_25-110,Quiver
A0A8C4YT57_IPR045860_1_20-104,none
A0A8C5QVE6_IPR045860_2_119-168,mixture
A0A8D8DNS1_IPR045860_1_168-222,none
A0A8J0SAE6_IPR045860_1_52-129,Ly6
A0A8J1UV03_IPR045860_1_161-241,none
A0A8J4TJW7_IPR045860_1_96-189,none
A0A8T2M011_IPR045860_1_18-116,mixture
A0A913WT09_IPR045860_1_501-592,none
A0A914X3N0_IPR045860_1_21-78,none
A0A915C6L5_IPR045860_1_14-103,Ly6
A0A9P0MN74_IPR045860_1_27-80,none
A0A9Q0Y2V8_IPR045860_1_2-57,none
A0A9W2XH10_IPR045860_1_11-61,none
A0AA35KMU3_IPR045860_1_17-101,none
A0AA35NY78_IPR045860_1_38-107,none
A0AA36CJ03_IPR045860_1_2-85,Quiver
A0AA36MB68_IPR045860_1_43-116,mixture
A0AAF3F6X3_IPR045860_1_12-100,none
A0AAU9XLM5_IPR045860_2_156-230,mixture
A0AAW1EW67_IPR045860_1_4-57,mixture
A0ABC9W934_IPR045860_1_34-134,Ly6
A0ABD1D0L5_IPR045860_1_4-54,none
R7U8P4_IPR045860_1_2-60,none
Centipede3FTx_0030_61981,mixture
A0A6P5KXC8_IPR042339_1_49-144,Ly6
A0A2D4G9Z1_IPR016054_1_12-109,mostly_Ly6
A0A2T7P9N7_IPR016054_1_941-1028,mixture
A0A6I8R2P6_IPR045860_1_23-115,mixture
A0A6P8PTC0_IPR045860_1_12-93,mostly_Ly6
Centipede3FTx_0001_61981,manually_annotated
Centipede3FTx_0033_61981,manually_annotated
Centipede3FTx_0129_1255758,mixture
A0ABD2F034_IPR026524_1_1-71,mixture
A0A0C2GT18_IPR031424_1_15-130,mixture
A0A0N4XEH7_IPR031424_1_22-147,none
A0A7R9BN16_IPR045860_1_18-91,Ly6
A0A814PKZ4_IPR045860_1_10-63,mixture
A0A8B7DVU4_IPR045860_1_25-125,none
A0A8C6V709_IPR045860_1_6-88,Ly6
A0A8R1I7U2_IPR045860_1_78-184,none
A0A8S1FAB1_IPR045860_1_32-129,none
A0A8S4N9T5_IPR045860_1_233-310,none
A0A8T2ND24_IPR045860_1_11-87,Ly6
A0A915IBA4_IPR045860_1_15-123,none
A0A9Y3S0P4_IPR045860_1_45-132,none
A0AA36H4S5_IPR045860_1_16-90,none
A0AA85K7K8_IPR045860_1_42-119,none
A0AAJ7SUB0_IPR045860_1_115-209,mixture
A0AAN4ZP78_IPR045860_1_42-102,none
A0AAN8R2E2_IPR045860_1_20-76,none
A0ABD3WX44_IPR045860_1_9-65,none
A1BX79_IPR045860_1_1-83,none
F5CPE3_IPR045860_1_21-74,3FTx
H2XNG7_IPR045860_1_15-107,mixture
Q4RE84_IPR045860_1_1-95,none
T1EUB6_IPR045860_1_52-116,mixture
Centipede3FTx_0073_61981,manually_annotated
Centipede3FTx_0137_984703,manually_annotated
A0A3M7P5S9_IPR045860_1_24-76,none
A0A821GXM4_IPR035076_1_5-65,none
A0A915EI99_IPR035076_1_63-120,mixture
A0A8C0LSP2_IPR016054_2_116-200,none
A0A8C5PIA8_IPR045860_2_118-180,mixture
A0A8T1RWM6_IPR045860_2_38-138,Ly6
A0A8V5GXQ5_IPR045860_1_17-104,mixture
A0AA35QQ05_IPR045860_2_11-97,Ly6
A0AA41SX92_IPR016054_5_304-383,Ly6
A0A6P5AVG0_IPR039457_1_6-170,mixture
A0A8S1DAU7_IPR039457_1_17-146,mixture
A0A1D1VPY8_IPR031424_1_23-155,Quiver
A0A3P6SP30_IPR045860_1_16-117,mixture
A0A6G0TK47_IPR031424_2_131-183,none
A0A6J2T4X2_IPR031424_1_20-104,none
A0A8T2JDC4_IPR045860_1_2-69,none
A0A913X4E7_IPR045860_1_20-110,none
A0A914EB87_IPR045860_1_16-93,none
A0A914LEF1_IPR045860_1_1-77,none
A0A914RYS8_IPR045860_1_15-108,mixture
A0A914VDT4_IPR045860_1_18-93,none
A0A922HS44_IPR045860_1_16-145,none
A0A9D4BW54_IPR045860_1_25-114,mixture
A0A9J6FD86_IPR045860_1_2-55,none
A0A9N9RXC6_IPR045860_1_55-149,none
A0A9P0J1I0_IPR045860_1_18-73,none
A0A9P1HD09_IPR045860_1_6-91,none
A0A3Q7P0E8_IPR045860_1_12-95,mixture
A0A553P0D0_IPR045860_1_16-102,Ly6
A0A672YFI7_IPR045860_1_22-86,mixture
A0A6J2X9Y7_IPR045860_1_20-106,mixture
A0A6P5AG42_IPR045860_1_44-127,mixture
A0A3M6V5B7_IPR045860_1_32-117,mixture
A0A3Q0RTA1_IPR045860_1_21-77,none
A0A3S2PCT2_IPR045860_2_52-104,none
A0A6F9DV81_IPR045860_1_21-117,none
A0A7J7R911_IPR045860_1_301-379,mixture
A0A814TJZ5_IPR045860_1_12-117,none
A0A8C2P149_IPR045860_1_56-110,none
A0A8C4RAU9_IPR045860_1_25-113,none
A0A226DZ36_IPR031424_1_17-157,none
A0A8J1XJ26_IPR031424_1_30-163,none
A0A8W8NB98_IPR031424_1_30-88,none
A0A5N4CSY0_IPR026524_1_16-126,none
A0AAX6T0N5_IPR026524_1_200-369,none
A0A1I8IPG4_IPR031424_1_200-249,none
A0A1L8DNC4_IPR045860_1_16-118,mixture
A0A433U739_IPR031424_1_30-128,mixture
A0A482WZG1_IPR031424_1_25-150,mixture
A0A2G9UTY1_IPR045860_1_78-156,none
A0A3M6U0A5_IPR045860_1_54-153,mixture
A0A3M7S394_IPR045860_1_25-122,none
F6YIE7_IPR045860_1_70-157,none
G0MQL5_IPR045860_1_12-111,none
H3BIN3_IPR045860_1_21-96,mixture
R7UD99_IPR045860_2_123-186,mixture
Centipede3FTx_0032_61981,manually_annotated
Centipede3FTx_0128_1255758,manually_annotated
A0AAD1W471_IPR045860_1_20-112,none
A0A3Q2Q2Z7_IPR045860_1_7-72,Ly6
A0A6P9DEV7_IPR045860_2_16-111,mixture
A0A7N6FLY1_IPR045860_1_1-72,mixture
A0A803JTA5_IPR045860_3_14-65,Ly6
A0A8C3SHN7_IPR045860_1_129-192,Ly6
A0A8C5QVD3_IPR045860_2_10-61,mixture
A0AAV5TBW2_IPR045860_1_17-101,mixture
A0AAV6ZF17_IPR045860_1_1-67,Ly6
A0AAW0N2N6_IPR045860_1_190-252,Ly6
Q9I8P7_IPR045860_1_113-194,none
A0AB34HME4_IPR026524_1_1-169,none
A0A1D1V7I0_IPR031424_1_94-184,none
A0A2H1WLM9_IPR031424_1_11-81,none
A0A7R9QCV8_IPR031424_1_20-156,none
A0A0C2H646_IPR045860_1_21-117,mixture
A0A0N5A8A8_IPR045860_1_34-136,none
A0A182MBE3_IPR045860_1_59-119,none
A0A183BWE7_IPR045860_1_24-121,none
A0A669BVS0_IPR045860_1_39-98,none
A0A6P8H3A5_IPR045860_1_18-100,none
A0A6P8QG64_IPR045860_1_1-66,none
A0A8C9TGN1_IPR045860_1_85-156,mixture
A0A8J0TC19_IPR045860_1_112-201,Ly6
A0A8R1E9F7_IPR045860_1_50-124,none
A0A8T1N1B6_IPR045860_1_24-95,none
A0A8T2IS40_IPR045860_2_1-69,Ly6
A6MIV6_IPR045860_1_17-70,none
E3NNI7_IPR045860_1_39-105,mixture
G9D4E4_IPR045860_1_78-167,none
Q5C099_IPR045860_1_35-109,mixture
T1F491_IPR045860_1_11-97,none
U4UN32_IPR045860_1_66-134,Ly6
Centipede3FTx_0011_61981,manually_annotated
Centipede3FTx_0075_61981,manually_annotated
A0A315W4P7_IPR045860_1_1-60,mixture
A0A091GPN7_IPR045860_2_95-146,mixture
A0A369RZI8_IPR045860_1_33-142,none
A0A3M6UU69_IPR045860_1_18-113,none
A0A3Q0IVC8_IPR045860_1_107-162,none
A0A4U5PGR9_IPR045860_1_10-93,Ly6
A0A672L668_IPR045860_1_26-94,none
A0A6P7XFG3_IPR045860_1_18-96,mixture
A0A6P8F3Q9_IPR045860_1_19-116,none
A0A7J7J989_IPR045860_1_4-78,none
A0AAE1CIL3_IPR045860_1_10-78,Quiver
A0AAF3ELR6_IPR045860_1_19-100,none
A0AAN5IAG8_IPR045860_1_12-103,mixture
A0AAN8GAJ9_IPR045860_1_10-70,mixture
A0AAN9YZE6_IPR045860_1_124-189,none
A0ABD2M0E5_IPR045860_1_14-100,none
Q9UAG0_IPR045860_2_314-419,none
A0A8C6XA92_IPR045860_1_12-61,none
A0A4U1EE55_IPR016054_1_13-72,Ly6
A0A670INU0_IPR016054_1_10-99,Ly6
A0A8R1Z2I3_IPR045860_1_12-103,mixture
A0A8S1E5R0_IPR045860_1_71-143,Quiver
A0A8S9ZW77_IPR045860_1_70-150,mixture
A0A913XL18_IPR045860_1_141-238,mixture
A0A914CQB1_IPR045860_1_17-98,none
A0A914TZ53_IPR045860_1_12-105,Ly6
A0AA35TY84_IPR045860_1_27-132,none
A0AAE1E257_IPR045860_1_52-119,Ly6
A0AAN8AXA4_IPR045860_1_15-70,none
A0AAV5SJA6_IPR045860_1_15-103,mixture
A0AAV5UNV8_IPR045860_1_18-102,none
A0AAW0MZS0_IPR045860_1_6-59,Ly6
A0ABD6EKP5_IPR045860_1_10-81,none
W8PW57_IPR045860_1_11-85,mixture
Centipede3FTx_0060_1255758,manually_annotated
A0A087WQ65_IPR045860_1_41-113,mixture
A0A8C0N4C6_IPR045860_1_102-222,mixture
A0AA88TF02_IPR045860_2_1-62,mixture
A0AAW1BLL4_IPR045860_1_7-84,none
V8NCZ4_IPR045860_1_1-64,mixture
A0A1A6G1S1_IPR038773_1_106-159,none
A0A3P9DMF4_IPR045860_1_56-128,mixture
A0A6P5Q3G2_IPR016054_2_213-310,mixture
A0A8M9PKG4_IPR016054_1_18-93,Ly6
A0A9F3QVY1_IPR016054_1_39-103,Ly6
A0AAD1WQC3_IPR045860_2_283-370,mixture
A0AAV7Q409_IPR045860_2_1-67,Ly6
A0A151NCF0_IPR026524_1_21-112,none
A0A8D0XLD5_IPR026524_1_11-270,none
A0A1S8WRH0_IPR045860_1_25-89,mixture
A0A8J1Y7G1_IPR031424_1_35-141,none
A0A9W2YPS7_IPR031424_1_23-136,mixture
A0AA36C4Y9_IPR031424_1_35-100,none
T1FTA0_IPR031424_1_23-103,mixture
T1JCJ9_IPR031424_1_125-212,Quiver
A0A0M3K4U5_IPR045860_1_207-283,mixture
A0A1D2M2K8_IPR045860_1_27-112,none
A0A1I7X890_IPR045860_1_1-50,none
A0A1I8AU51_IPR045860_1_85-163,Ly6
A0A1W5BE54_IPR045860_1_9-81,none
A0A2A6BVH5_IPR045860_1_16-105,none
A0A3P7DWI0_IPR045860_1_8-58,none
A0A4U5MVD7_IPR045860_1_36-91,none
A0A665TLL2_IPR045860_1_52-147,none
A0A672Z7F9_IPR045860_1_6-85,mixture
A0A813WVD2_IPR045860_1_66-122,none
A0A8B8PLF7_IPR045860_1_13-138,none
A0A8J1LAM8_IPR045860_1_169-254,mostly_Ly6
A0A8J2RNL0_IPR045860_1_13-65,Quiver
A0A8S2GH58_IPR045860_1_48-140,none
A0A8T2M011_IPR045860_2_117-186,Ly6
A0A9D4M313_IPR045860_1_44-151,none
A0A9J7ZI52_IPR045860_1_135-190,Ly6
A0A9X0A3X3_IPR045860_1_15-118,none
A0AA35U124_IPR045860_1_181-287,none
A0AA36CJ11_IPR045860_1_61-114,none
A0AAF3FA92_IPR045860_1_108-186,none
A0AAN7P2D6_IPR045860_1_187-237,none
A0AAV7Q5B8_IPR045860_1_20-109,Ly6
A0ABD2NEE1_IPR045860_1_16-108,none
D2V2Z0_IPR045860_1_19-99,none
Q99473_IPR045860_1_12-70,none
Centipede3FTx_0031_61981,manually_annotated
Centipede3FTx_0095_984703,manually_annotated
A0A815C0A8_IPR045860_1_77-155,mixture
A0AAJ7T9K6_IPR045860_1_89-151,mixture
A0A2T7P9N7_IPR016054_2_2145-2238,none
A0A6J0ABA1_IPR045860_1_24-93,none
A0A7L3T2I9_IPR045860_1_1-81,mixture
A0AAD9JQH5_IPR045860_1_39-111,none
A0A0U1RNF3_IPR045860_1_23-73,Ly6
A0A151M3Y2_IPR045860_6_748-826,Ly6
A0A151NCA5_IPR045860_2_15-75,mixture
A0A1U7SB93_IPR045860_3_158-207,Ly6
A0A212CED6_IPR016054_1_52-112,Ly6
A0A6P8VR33_IPR045860_1_20-106,Ly6
A0A836A292_IPR045860_7_308-373,Ly6
A0A8C5QVD3_IPR045860_1_70-130,Ly6
A0A9D3XGR2_IPR016054_1_28-118,Ly6
A0A9X0A5D2_IPR016054_1_18-111,mixture
A0AAD1TA03_IPR016054_1_21-103,mixture
A0AAV2ZKP5_IPR045860_2_1-67,Ly6
A0AAV6ZM70_IPR045860_1_18-105,mixture
A0AAW1V7Z3_IPR016054_2_110-175,Ly6
A0A816BYK0_IPR031424_1_4-60,Quiver
A0AA36CBI2_IPR031424_1_35-147,none
A0AA38HQJ2_IPR031424_1_19-111,none
A0A061HX69_IPR045860_1_480-531,none
A0A077Z8A9_IPR045860_1_16-98,none
A0A094ZQS8_IPR045860_1_45-96,none
A0A0V0SJT5_IPR045860_1_75-166,mixture
A0A182T5G5_IPR045860_1_171-245,none
A0A183U308_IPR045860_1_16-85,none
A0A1L8FP00_IPR045860_1_20-112,Ly6
A0A4S2LXJ0_IPR045860_1_22-89,none
A0A4V5ZXI3_IPR045860_1_5-71,none
A0A6G1QXP5_IPR045860_2_23-103,none
A0A6J8B243_IPR045860_2_16-69,none
A0A8C6WTV3_IPR045860_1_14-90,none
A0A8C7I900_IPR045860_1_10-72,none
A0A8J6EQB4_IPR045860_1_30-104,mixture
A0A8S2H7F1_IPR045860_1_29-105,none
A0A914K597_IPR045860_1_21-96,none
A0A921Z041_IPR045860_1_79-129,none
A0AA35P148_IPR045860_1_32-115,Ly6
A0AA35U124_IPR045860_2_23-142,none
A0AA36CJ38_IPR045860_1_17-91,none
A0AAD4NCE5_IPR045860_1_43-148,none
A0AAD8CGL1_IPR045860_1_1-56,none
A0AAD9NDG7_IPR045860_1_16-118,none
A0AAE9FCQ7_IPR045860_1_31-109,mixture
A0AAN9H109_IPR045860_1_1-51,none
A0AAV4BL23_IPR045860_1_29-102,none
A0AAX7TJ66_IPR045860_1_10-64,none
A0AAZ1WZK1_IPR045860_1_351-406,none
A0A3B3UHZ6_IPR016054_1_19-107,mixture
A0A4U8UL41_IPR045860_1_17-101,mixture
A0AAD9K488_IPR045860_1_1-53,none
V9IHU1_IPR035076_1_22-80,none
A0A4W2E290_IPR051445_1_1-105,Ly6
A0A6A1Q7Y6_IPR051445_1_50-140,mixture
A0A8C8W2C3_IPR051445_1_2-76,Ly6
A0A8I6AS65_IPR016054_1_152-209,Ly6
A0A974CJ28_IPR045860_2_226-329,Ly6
A6J8Z2_IPR016054_1_23-96,mixture
D3ZP75_IPR016054_1_20-106,Ly6
R7UJ15_IPR039457_1_7-86,none
A0A1D1VLF0_IPR031424_1_28-136,none
A0A026WAX7_IPR045860_1_1-51,mixture
A0A498LWD7_IPR045860_1_252-330,none
A0A4U1EKV4_IPR045860_1_2-61,none
A0A4U5NZP5_IPR045860_1_19-103,Ly6
A0A671VFU8_IPR045860_1_64-113,none
A0A814DLA7_IPR045860_1_23-81,none
A0A814JKT5_IPR045860_1_6-71,none
A0A8B7DHV2_IPR045860_1_20-110,none
A0A8I3PXV6_IPR045860_1_14-68,none
A0A8J1LF51_IPR045860_2_290-367,mixture
A0A8J5N960_IPR045860_1_12-76,none
A0A8S4N0F6_IPR045860_1_34-143,none
A0A8T1SCN7_IPR045860_1_21-98,mixture
A0A8T2IYG0_IPR045860_1_18-88,mixture
A0A8W8LHF3_IPR045860_1_41-141,none
A0A9J7LLU2_IPR045860_1_21-102,mixture
A0A6A4UZH6_IPR045860_1_69-125,Quiver
A0A7J6A6K8_IPR045860_1_17-81,none
A0A7M7HJH9_IPR045860_1_30-120,none
A0A8B6BJV3_IPR045860_1_81-166,mixture
A0A8C6GS09_IPR045860_1_35-121,mixture
A0A9X0D8A0_IPR045860_1_17-104,none
A0AAD9USH5_IPR045860_1_5-103,none
A0AAF3FK35_IPR045860_1_8-93,Ly6
A0AAV2Q5Q0_IPR045860_1_24-122,mixture
A0AAV6G4K1_IPR045860_2_83-145,mixture
F6ZQF4_IPR045860_1_15-103,mixture
G5CTM1_IPR045860_1_35-128,none
K1QMD5_IPR045860_1_5-58,none
N6TJ42_IPR045860_1_1-78,none
P25677_IPR045860_1_1-56,mixture
Centipede3FTx_0071_60158,manually_annotated
P81946_IPR045860_1_1-59,mixture
A0A6J8CXM1_IPR045860_1_45-149,mixture
A0A6P7WY53_IPR045860_1_164-214,none
A0A9L0J0W8_IPR045860_1_28-147,Ly6
A0A1A6HP20_IPR016054_1_156-207,Ly6
A0A553NSH3_IPR016054_1_20-116,Ly6
A0A670ZAR9_IPR045860_2_114-165,Ly6
A0A803K920_IPR045860_3_259-314,Ly6
A0A8C2SBU2_IPR016054_1_26-143,none
A0A8C5SCC3_IPR045860_3_1-57,Ly6
A0A9F7TM69_IPR045860_3_169-230,Ly6
A0A9J7JYE5_IPR016054_2_119-182,mostly_Ly6
A0AAD1WQB8_IPR045860_1_121-199,Ly6
A0AAN7X9S9_IPR045860_2_114-187,mixture
A0AAV3A123_IPR045860_2_157-245,Ly6
A0A8D0BPR5_IPR026524_1_27-111,none
A0AAV7Q211_IPR026524_1_4-257,none
Q3KUR9_IPR026524_1_16-105,none
A0A672TAY2_IPR039457_1_59-138,none
A0A1D1UPN3_IPR031424_1_15-101,none
A0A1D2MQ55_IPR031424_1_27-155,none
A0A1S3H5B0_IPR031424_1_44-162,Quiver
A0A226DZC9_IPR031424_1_23-156,none
A0A553NCU0_IPR031424_1_23-136,none
A0A8I6R741_IPR031424_1_24-109,none
A0A1I7RXX3_IPR045860_1_24-95,none
A0A1S3Q511_IPR045860_1_112-185,mixture
A0A1W4XIE4_IPR045860_1_3-114,none
A0A1Y3BNV1_IPR045860_1_4-58,Quiver
A0A210Q9V6_IPR045860_1_145-208,Ly6
A0A267EFM8_IPR045860_1_10-73,mixture
A0A8C8RF92_IPR035076_1_12-82,none
A0A8C9CVH1_IPR045860_1_36-89,none
A0A9Q0Y0G3_IPR045860_1_11-69,none
A0AAV6ZDW4_IPR045860_1_1-58,none
V8NB38_IPR045860_1_64-117,none
N0E6I9_IPR038773_1_9-60,none
A0A0A0QUW4_IPR016054_1_1-63,mixture
A0A803JS12_IPR016054_2_112-204,Ly6
A0A8D0HA27_IPR016054_1_45-115,Ly6
A0A8J6AJV9_IPR016054_1_3-78,mostly_Ly6
A0A9W2X751_IPR016054_1_12-70,Ly6
A0AA97KFU8_IPR045860_1_121-207,Ly6
A0AAW1AXJ9_IPR045860_1_111-193,none
B2D6N2_IPR045860_2_13-92,Ly6
L9KKD7_IPR016054_1_225-321,Ly6
A0A8C0WFM8_IPR026524_1_17-97,none
A0A3Q2XZN3_IPR039457_1_5-146,mixture
A0A852NKK1_IPR039457_1_3-105,mixture
A0AAW1DF26_IPR039457_1_1-73,none
A0A0X3PMB9_IPR045860_1_24-122,mixture
A0A210QR19_IPR031424_1_22-99,mixture
A0A3M7PFA6_IPR031424_1_20-103,none
A0A914AMV4_IPR031424_1_51-172,none
A0A914T9K7_IPR031424_1_3-71,mixture
A0A9C6SRV2_IPR031424_1_24-77,none
A0AA36B8V0_IPR031424_1_35-105,mixture
A0AAE0SQF5_IPR031424_1_31-121,mixture
A0AAN7SNP7_IPR031424_1_20-102,none
