protein_id,protein_name,organism,sequence_length,tax_id,interpro_1,interpro_2,interpro_3,interpro_4
A0A3B4XUA3,UPAR/Ly6 domain-containing protein,Seriola lalandi dorsalis,194,1841481.0,IPR016054,IPR045860,,
A0A3B4XZF5,Serine/threonine-protein kinase receptor,Seriola lalandi dorsalis,542,1841481.0,IPR045860,,,
A0A3B4Y3J5,Serine/threonine-protein kinase receptor,Seriola lalandi dorsalis,514,1841481.0,IPR045860,,,
A0A3B4Y6I0,UPAR/Ly6 domain-containing protein,Seriola lalandi dorsalis,166,1841481.0,IPR016054,IPR045860,,
A0A3B4Y6Z3,Serine/threonine-protein kinase receptor,Seriola lalandi dorsalis,479,1841481.0,IPR045860,,,
A0A3B4Y7I4,CD59 glycoprotein-like,Seriola lalandi dorsalis,123,1841481.0,IPR045860,,,
A0A3B4Y9K5,UPAR/Ly6 domain-containing protein,Seriola lalandi dorsalis,102,1841481.0,IPR045860,,,
A0A3B4Y9X0,UPAR/Ly6 domain-containing protein,Seriola lalandi dorsalis,88,1841481.0,IPR045860,,,
A0A3B4YAP1,Serine/threonine-protein kinase receptor,Seriola lalandi dorsalis,507,1841481.0,IPR045860,,,
A0A3B4YBQ4,receptor protein serine/threonine kinase,Seriola lalandi dorsalis,1068,1841481.0,IPR045860,,,
A0A3B4YBU4,receptor protein serine/threonine kinase,Seriola lalandi dorsalis,981,1841481.0,IPR045860,,,
A0A3B4YGU0,MAC-inhibitory protein,Seriola lalandi dorsalis,125,1841481.0,IPR016054,IPR045860,,
A0A3B4YKG3,UPAR/Ly6 domain-containing protein,Seriola lalandi dorsalis,105,1841481.0,IPR016054,IPR035076,IPR045860,
A0A3B4YQX2,receptor protein serine/threonine kinase,Seriola lalandi dorsalis,505,1841481.0,IPR045860,,,
A0A3B4YTA7,UPAR/Ly6 domain-containing protein,Seriola lalandi dorsalis,100,1841481.0,IPR045860,,,
A0A3B4YTB2,UPAR/Ly6 domain-containing protein,Seriola lalandi dorsalis,130,1841481.0,IPR016054,IPR045860,,
A0A3B4YTH4,UPAR/Ly6 domain-containing protein,Seriola lalandi dorsalis,127,1841481.0,IPR016054,IPR045860,,
A0A3B4YUA3,TGF-beta receptor type-2,Stegastes partitus,583,144197.0,IPR045860,,,
A0A3B4YXK8,MAC-inhibitory protein,Stegastes partitus (bicolor damselfish),142,144197.0,IPR016054,IPR045860,,
A0A3B4Z0P0,UPAR/Ly6 domain-containing protein,Stegastes partitus,113,144197.0,IPR045860,,,
A0A3B4Z1K1,LY6/PLAUR domain containing 6,Stegastes partitus (bicolor damselfish),176,144197.0,IPR039457,IPR045860,,
A0A3B4Z7Q7,UPAR/Ly6 domain-containing protein,Stegastes partitus (bicolor damselfish),160,144197.0,IPR016054,IPR035076,IPR045860,
A0A3B4Z7U6,UPAR/Ly6 domain-containing protein,Stegastes partitus (bicolor damselfish),133,144197.0,IPR016054,IPR035076,IPR045860,
A0A3B4Z8W0,UPAR/Ly6 domain-containing protein,Seriola lalandi dorsalis,124,1841481.0,IPR016054,IPR045860,,
A0A3B4Z985,Activin receptor type-1,Stegastes partitus,678,144197.0,IPR045860,,,
A0A3B4Z9P1,Serine/threonine-protein kinase receptor,Stegastes partitus,542,144197.0,IPR045860,,,
A0A3B4Z9Y3,Activin receptor type-1,Stegastes partitus,513,144197.0,IPR045860,,,
A0A3B4ZFP3,Serine/threonine-protein kinase receptor,Stegastes partitus,536,144197.0,IPR045860,,,
A0A3B4ZGC3,Activin receptor type-1C,Stegastes partitus,493,144197.0,IPR045860,,,
A0A3B4ZJS3,UPAR/Ly6 domain-containing protein,Stegastes partitus,90,144197.0,IPR045860,,,
A0A3B4ZK24,UPAR/Ly6 domain-containing protein,Stegastes partitus (bicolor damselfish),127,144197.0,IPR016054,IPR045860,,
A0A3B4ZK83,UPAR/Ly6 domain-containing protein,Stegastes partitus (bicolor damselfish),130,144197.0,IPR016054,IPR045860,,
A0A3B4ZKE8,TGF-beta receptor type-2,Stegastes partitus,587,144197.0,IPR045860,,,
A0A3B4ZKL3,UPAR/Ly6 domain-containing protein,Stegastes partitus,95,144197.0,IPR045860,,,
A0A3B4ZML2,CD59 glycoprotein,Stegastes partitus,99,144197.0,IPR045860,,,
A0A3B4ZQA2,Serine/threonine-protein kinase receptor,Stegastes partitus,521,144197.0,IPR045860,,,
A0A3B4ZWA2,Serine/threonine-protein kinase receptor,Stegastes partitus,543,144197.0,IPR045860,,,
A0A3B4ZYB0,UPAR/Ly6 domain-containing protein,Stegastes partitus (bicolor damselfish),122,144197.0,IPR016054,IPR045860,,
A0A3B4ZYD8,UPAR/Ly6 domain-containing protein,Stegastes partitus (bicolor damselfish),124,144197.0,IPR016054,IPR045860,,
A0A3B4ZYJ3,Serine/threonine-protein kinase receptor,Stegastes partitus,563,144197.0,IPR045860,,,
A0A3B5A1C0,CD59 glycoprotein-like,Stegastes partitus,99,144197.0,IPR045860,,,
A0A3B5A1V5,CD59 glycoprotein,Stegastes partitus (bicolor damselfish),109,144197.0,IPR016054,IPR045860,,
A0A3B5A1Y4,Serine/threonine-protein kinase receptor,Stegastes partitus,511,144197.0,IPR045860,,,
A0A3B5A4B5,UPAR/Ly6 domain-containing protein,Stegastes partitus,96,144197.0,IPR045860,,,
A0A3B5A5P1,Serine/threonine-protein kinase receptor,Stegastes partitus,1005,144197.0,IPR045860,,,
A0A3B5A823,receptor protein serine/threonine kinase,Stegastes partitus,505,144197.0,IPR045860,,,
A0A3B5ACK6,Toxin 3FTx-Oxy5-like,Stegastes partitus,88,144197.0,IPR045860,,,
A0A3B5ADT4,UPAR/Ly6 domain-containing protein,Stegastes partitus (bicolor damselfish),206,144197.0,IPR016054,IPR045860,,
A0A3B5AFS0,UPAR/Ly6 domain-containing protein,Stegastes partitus (bicolor damselfish),206,144197.0,IPR016054,IPR045860,,
A0A3B5AGY6,UPAR/Ly6 domain-containing protein,Stegastes partitus (bicolor damselfish),208,144197.0,IPR016054,IPR045860,,
A0A3B5AJ95,UPAR/Ly6 domain-containing protein,Stegastes partitus (bicolor damselfish),122,144197.0,IPR016054,IPR045860,,
A0A3B5AKG2,receptor protein serine/threonine kinase,Stegastes partitus,502,144197.0,IPR045860,,,
A0A3B5AKT6,receptor protein serine/threonine kinase,Stegastes partitus,507,144197.0,IPR045860,,,
A0A3B5AL54,UPAR/Ly6 domain-containing protein,Stegastes partitus,148,144197.0,IPR045860,,,
A0A3B5ALU5,Activin receptor type-1C,Stegastes partitus,394,144197.0,IPR045860,,,
A0A3B5AMA5,UPAR/Ly6 domain-containing protein,Stegastes partitus (bicolor damselfish),148,144197.0,IPR016054,IPR045860,,
A0A3B5API4,UPAR/Ly6 domain-containing protein,Stegastes partitus (bicolor damselfish),207,144197.0,IPR016054,IPR035076,IPR045860,
A0A3B5ATN0,UPAR/Ly6 domain-containing protein,Stegastes partitus,118,144197.0,IPR045860,,,
A0A3B5AY93,UPAR/Ly6 domain-containing protein,Stegastes partitus,86,144197.0,IPR045860,,,
A0A3B5AZF8,UPAR/Ly6 domain-containing protein,Stegastes partitus,139,144197.0,IPR045860,,,
A0A3B5B0F5,Serine/threonine-protein kinase receptor,Stegastes partitus,520,144197.0,IPR045860,,,
A0A3B5B4B3,LY6/PLAUR domain containing 1,Stegastes partitus,151,144197.0,IPR045860,,,
A0A3B5B6C0,BMP and activin membrane-bound inhibitor homolog,Stegastes partitus,258,144197.0,IPR045860,,,
A0A3B5B6P4,Activin receptor type-1C,Stegastes partitus,499,144197.0,IPR045860,,,
A0A3B5B9L6,UPAR/Ly6 domain-containing protein,Stegastes partitus (bicolor damselfish),127,144197.0,IPR016054,IPR045860,,
A0A3B5BAN8,TGF-beta receptor type-1,Stegastes partitus,471,144197.0,IPR045860,,,
A0A3B5BAR4,receptor protein serine/threonine kinase,Stegastes partitus,1067,144197.0,IPR045860,,,
A0A3B5BAR9,receptor protein serine/threonine kinase,Stegastes partitus,1024,144197.0,IPR045860,,,
A0A3B5BDI7,Prostate stem cell antigen-like,Stegastes partitus,128,144197.0,IPR045860,,,
A0A3B5BGZ1,Serine/threonine-protein kinase receptor,Stegastes partitus,476,144197.0,IPR045860,,,
A0A3B5BH85,receptor protein serine/threonine kinase,Stegastes partitus,487,144197.0,IPR045860,,,
A0A3B5BJ15,TGF-beta receptor type-1,Stegastes partitus,469,144197.0,IPR045860,,,
A0A3B5BN67,LY6/PLAUR domain containing 1,Stegastes partitus,133,144197.0,IPR045860,,,
A0A3B5JYP2,Uncharacterized protein,Takifugu rubripes,60,31033.0,IPR045860,,,
A0A3B5K047,CD59 glycoprotein,Takifugu rubripes,84,31033.0,IPR045860,,,
A0A3B5K563,MAC-inhibitory protein,Takifugu rubripes (Japanese pufferfish),107,31033.0,IPR016054,IPR045860,,
A0A3B5K7U3,Activin receptor type-1C,Takifugu rubripes,497,31033.0,IPR045860,,,
A0A3B5K7Y2,UPAR/Ly6 domain-containing protein,Takifugu rubripes,89,31033.0,IPR045860,,,
A0A3B5KBF6,MAC-inhibitory protein,Takifugu rubripes (Japanese pufferfish),117,31033.0,IPR016054,IPR045860,,
A0A3B5KD27,UPAR/Ly6 domain-containing protein,Takifugu rubripes,100,31033.0,IPR045860,,,
A0A3B5KDW6,UPAR/Ly6 domain-containing protein,Takifugu rubripes (Japanese pufferfish),109,31033.0,IPR016054,IPR045860,,
A0A3B5KEM1,UPAR/Ly6 domain-containing protein,Takifugu rubripes,100,31033.0,IPR045860,,,
A0A3B5KH66,UPAR/Ly6 domain-containing protein,Takifugu rubripes (Japanese pufferfish),138,31033.0,IPR016054,IPR045860,,
A0A3B5KII1,Si:ch211-113d22.2,Takifugu rubripes,129,31033.0,IPR045860,,,
A0A3B5KJS2,UPAR/Ly6 domain-containing protein,Takifugu rubripes (Japanese pufferfish),204,31033.0,IPR016054,IPR035076,IPR045860,
A0A3B5KK39,Activin receptor type-1,Xiphophorus couchianus,491,32473.0,IPR045860,,,
A0A3B5KK63,Activin receptor type-1,Xiphophorus couchianus,504,32473.0,IPR045860,,,
A0A3B5KQ18,Activin receptor type-1,Xiphophorus couchianus,492,32473.0,IPR045860,,,
A0A3B5KR46,MAC-inhibitory protein,Takifugu rubripes (Japanese pufferfish),118,31033.0,IPR016054,IPR045860,,
A0A3B5KUN5,receptor protein serine/threonine kinase,Xiphophorus couchianus,499,32473.0,IPR045860,,,
A0A3B5KYC9,Activin receptor type-1,Xiphophorus couchianus,660,32473.0,IPR045860,,,
A0A3B5KYM3,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus,179,32473.0,IPR045860,,,
A0A3B5KYP6,Activin receptor type-1,Xiphophorus couchianus,460,32473.0,IPR045860,,,
A0A3B5L1F1,Serine/threonine-protein kinase receptor,Xiphophorus couchianus,465,32473.0,IPR045860,,,
A0A3B5L243,Serine/threonine-protein kinase receptor,Xiphophorus couchianus,500,32473.0,IPR045860,,,
A0A3B5L5W2,Serine/threonine-protein kinase receptor,Xiphophorus couchianus,563,32473.0,IPR045860,,,
A0A3B5LAB3,BMP and activin membrane-bound inhibitor homolog,Xiphophorus couchianus,260,32473.0,IPR045860,,,
A0A3B5LBM7,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),201,32473.0,IPR016054,IPR045860,,
A0A3B5LEK5,receptor protein serine/threonine kinase,Xiphophorus couchianus,478,32473.0,IPR045860,,,
A0A3B5LET8,Uncharacterized protein,Xiphophorus couchianus,106,32473.0,IPR045860,,,
A0A3B5LTW0,MAC-inhibitory protein,Xiphophorus couchianus (Monterrey platyfish),117,32473.0,IPR016054,IPR045860,,
A0A3B5LY09,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),209,32473.0,IPR016054,IPR035076,IPR045860,
A0A3B5LYA3,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),174,32473.0,IPR016054,IPR035076,IPR045860,
A0A3B5LYC4,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),164,32473.0,IPR016054,IPR035076,IPR045860,
A0A3B5LYV9,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),184,32473.0,IPR016054,IPR035076,IPR045860,
A0A3B5M2X1,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),121,32473.0,IPR016054,IPR035076,IPR045860,
A0A3B5M3N0,Uncharacterized protein,Xiphophorus couchianus,206,32473.0,IPR045860,,,
A0A3B5M3Y0,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),190,32473.0,IPR016054,IPR035076,IPR045860,
A0A3B5M3Y7,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus,136,32473.0,IPR045860,,,
A0A3B5M5R4,receptor protein serine/threonine kinase,Xiphophorus couchianus,500,32473.0,IPR045860,,,
A0A3B5M7A9,Serine/threonine-protein kinase receptor,Xiphophorus couchianus,430,32473.0,IPR045860,,,
A0A3B5MAS3,MAC-inhibitory protein,Xiphophorus couchianus (Monterrey platyfish),118,32473.0,IPR016054,IPR045860,,
A0A3B5MB32,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),173,32473.0,IPR016054,IPR035076,IPR045860,
A0A3B5MDT2,Serine/threonine-protein kinase receptor,Xiphophorus couchianus,475,32473.0,IPR045860,,,
A0A3B5MF16,Snake toxin/toxin-like domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),106,32473.0,IPR035076,IPR045860,,
A0A3B5MG42,Snake toxin/toxin-like domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),131,32473.0,IPR035076,IPR045860,,
A0A3B5MH29,Serine/threonine-protein kinase receptor,Xiphophorus couchianus,665,32473.0,IPR045860,,,
A0A3B5MKE8,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),106,32473.0,IPR016054,IPR035076,IPR045860,
A0A3B5MKF8,LY6/PLAUR domain containing 1,Xiphophorus couchianus,176,32473.0,IPR045860,,,
A0A3B5MP15,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),123,32473.0,IPR016054,IPR045860,,
A0A3B5MP20,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),129,32473.0,IPR016054,IPR045860,,
A0A3B5MP94,Serine/threonine-protein kinase receptor,Xiphophorus couchianus,540,32473.0,IPR045860,,,
A0A3B5MPS4,CD59 glycoprotein-like,Xiphophorus couchianus,110,32473.0,IPR045860,,,
A0A3B5MQA1,LY6/PLAUR domain containing 6,Xiphophorus couchianus (Monterrey platyfish),178,32473.0,IPR039457,IPR045860,,
A0A3B5MQJ0,Snake toxin/toxin-like domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),90,32473.0,IPR035076,IPR045860,,
A0A3B5MS03,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),131,32473.0,IPR016054,IPR045860,,
A0A3B5MSM8,Serine/threonine-protein kinase receptor,Xiphophorus couchianus,532,32473.0,IPR045860,,,
A0A3B5MV13,LY6/PLAUR domain containing 6,Xiphophorus couchianus (Monterrey platyfish),174,32473.0,IPR039457,IPR045860,,
A0A3B5MX95,Serine/threonine-protein kinase receptor,Xiphophorus couchianus,547,32473.0,IPR045860,,,
A0A3B5MXA2,Serine/threonine-protein kinase receptor,Xiphophorus couchianus,520,32473.0,IPR045860,,,
A0A3B5MZ64,LY6/PLAUR domain containing 1,Xiphophorus couchianus,129,32473.0,IPR045860,,,
A0A3B5MZP1,UPAR/Ly6 domain-containing protein,Xiphophorus couchianus (Monterrey platyfish),130,32473.0,IPR016054,IPR045860,,
A0A3B5MZX7,Serine/threonine-protein kinase receptor,Xiphophorus couchianus,539,32473.0,IPR045860,,,
A0A3B5MZY0,Serine/threonine-protein kinase receptor,Xiphophorus couchianus,519,32473.0,IPR045860,,,
A0A3B5PND1,MAC-inhibitory protein,Xiphophorus maculatus (Southern platyfish),117,8083.0,IPR016054,IPR045860,,
A0A3B5PPD1,Serine/threonine-protein kinase receptor,Xiphophorus maculatus,541,8083.0,IPR045860,,,
A0A3B5PR86,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),183,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5PXG2,LY6/PLAUR domain containing 6,Xiphophorus maculatus (Southern platyfish),158,8083.0,IPR039457,IPR045860,,
A0A3B5PYL5,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),190,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5PZ32,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus,90,8083.0,IPR045860,,,
A0A3B5PZA7,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus,138,8083.0,IPR045860,,,
A0A3B5Q1G5,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),218,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5Q7T5,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),141,8083.0,IPR016054,IPR045860,,
A0A3B5Q822,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),222,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5Q944,Serine/threonine-protein kinase receptor,Xiphophorus maculatus,530,8083.0,IPR045860,,,
A0A3B5Q9Q7,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),206,8083.0,IPR016054,IPR045860,,
A0A3B5QA19,receptor protein serine/threonine kinase,Xiphophorus maculatus,444,8083.0,IPR045860,,,
A0A3B5QCQ1,receptor protein serine/threonine kinase,Xiphophorus maculatus,463,8083.0,IPR045860,,,
A0A3B5QGZ1,Serine/threonine-protein kinase receptor,Xiphophorus maculatus,598,8083.0,IPR045860,,,
A0A3B5QHV7,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),218,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5QJ23,Uncharacterized protein,Xiphophorus maculatus,87,8083.0,IPR045860,,,
A0A3B5QJC5,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),98,8083.0,IPR016054,IPR045860,,
A0A3B5QKS6,Serine/threonine-protein kinase receptor,Xiphophorus maculatus,521,8083.0,IPR045860,,,
A0A3B5QL20,Serine/threonine-protein kinase receptor,Xiphophorus maculatus,514,8083.0,IPR045860,,,
A0A3B5QLE7,Serine/threonine-protein kinase receptor,Xiphophorus maculatus,523,8083.0,IPR045860,,,
A0A3B5QLT0,Snake toxin/toxin-like domain-containing protein,Xiphophorus maculatus (Southern platyfish),124,8083.0,IPR035076,IPR045860,,
A0A3B5QLV9,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),190,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5QND3,Serine/threonine-protein kinase receptor,Xiphophorus maculatus,551,8083.0,IPR045860,,,
A0A3B5QR19,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),204,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5QT17,LY6/PLAUR domain containing 6,Xiphophorus maculatus (Southern platyfish),178,8083.0,IPR039457,IPR045860,,
A0A3B5QU01,Serine/threonine-protein kinase receptor,Xiphophorus maculatus,510,8083.0,IPR045860,,,
A0A3B5QVT8,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),154,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5QZD3,receptor protein serine/threonine kinase,Xiphophorus maculatus,539,8083.0,IPR045860,,,
A0A3B5QZV9,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus,81,8083.0,IPR045860,,,
A0A3B5R0A1,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),175,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5R0X4,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),218,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5R255,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),166,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5R2K0,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),200,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5R325,BMP and activin membrane-bound inhibitor homolog,Xiphophorus maculatus,259,8083.0,IPR045860,,,
A0A3B5R573,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),136,8083.0,IPR016054,IPR045860,,
A0A3B5R5X0,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),217,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5R834,receptor protein serine/threonine kinase,Xiphophorus maculatus,483,8083.0,IPR045860,,,
A0A3B5R9C1,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),222,8083.0,IPR016054,IPR035076,IPR045860,
A0A3B5RA62,receptor protein serine/threonine kinase,Xiphophorus maculatus,512,8083.0,IPR045860,,,
A0A3B5RAE1,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),127,8083.0,IPR016054,IPR045860,,
A0A3B5RAL7,receptor protein serine/threonine kinase,Xiphophorus maculatus,501,8083.0,IPR045860,,,
A0A3B5RB41,Snake toxin/toxin-like domain-containing protein,Xiphophorus maculatus (Southern platyfish),150,8083.0,IPR035076,IPR045860,,
A0A3B5RBH7,TGF-beta receptor type-1,Xiphophorus maculatus,518,8083.0,IPR045860,,,
A0A3B5REN6,UPAR/Ly6 domain-containing protein,Xiphophorus maculatus (Southern platyfish),123,8083.0,IPR016054,IPR045860,,
A0A3B5RF06,Serine/threonine-protein kinase receptor,Xiphophorus maculatus,529,8083.0,IPR045860,,,
A0A3F2YNV0,Protein Bouncer,Oryzias latipes (Japanese rice fish),100,8090.0,IPR016054,IPR045860,,
A0A3F2YW09,Uncharacterized protein,Anopheles dirus,167,7168.0,IPR031424,,,
A0A3G2LMJ8,CD59 blood group antigen,Homo sapiens,71,9606.0,IPR045860,,,
A0A3G2LMK2,CD59 blood group antigen,Homo sapiens,71,9606.0,IPR045860,,,
A0A3G2LMK3,CD59 blood group antigen,Homo sapiens,71,9606.0,IPR045860,,,
A0A3G2LMK5,CD59 blood group antigen,Homo sapiens,71,9606.0,IPR045860,,,
A0A3G2LW20,receptor protein serine/threonine kinase,Scatophagus argus,510,75038.0,IPR045860,,,
A0A3L7I3K9,UPAR/Ly6 domain-containing protein,Cricetulus griseus (Chinese hamster),124,10029.0,IPR016054,IPR035076,IPR045860,
A0A3L8D6H9,receptor protein serine/threonine kinase,Ooceraea biroi,1762,2015173.0,IPR045860,,,
A0A3L8DAZ2,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),167,2015173.0,IPR031424,IPR045860,,
A0A3L8DC05,BMP and activin membrane-bound inhibitor N-terminal domain-containing protein,Ooceraea biroi,220,2015173.0,IPR045860,,,
A0A3L8DEJ0,Serine/threonine-protein kinase receptor,Ooceraea biroi,562,2015173.0,IPR045860,,,
A0A3L8DM28,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),154,,IPR031424,,,
A0A3L8DQP3,UPAR/Ly6 domain-containing protein,Ooceraea biroi,128,2015173.0,IPR045860,,,
A0A3L8DS81,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),152,,IPR031424,,,
A0A3L8DSY9,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),147,,IPR031424,,,
A0A3L8DSZ6,Protein sleepless,Ooceraea biroi (Clonal raider ant),162,,IPR031424,,,
A0A3L8DT37,Ly6/PLAUR domain-containing protein,Ooceraea biroi (Clonal raider ant),190,2015173.0,IPR039457,IPR045860,,
A0A3L8DV02,UPAR/Ly6 domain-containing protein qvr,Ooceraea biroi (Clonal raider ant),159,,IPR031424,,,
A0A3L8DXU7,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),156,,IPR031424,,,
A0A3L8DYD2,Serine/threonine-protein kinase receptor,Ooceraea biroi,958,2015173.0,IPR045860,,,
A0A3L8DZG2,Cationic amino acid transporter C-terminal domain-containing protein,Ooceraea biroi,637,2015173.0,IPR045860,,,
A0A3L8DZZ3,receptor protein serine/threonine kinase,Ooceraea biroi,525,2015173.0,IPR045860,,,
A0A3L8E2W8,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),144,2015173.0,IPR031424,IPR045860,,
A0A3L8E3L0,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),155,2015173.0,IPR031424,IPR045860,,
A0A3L8E5Z5,Uncharacterized protein,Ooceraea biroi (Clonal raider ant),174,,IPR031424,,,
A0A3L8RTB1,receptor protein serine/threonine kinase,Chloebia gouldiae,427,44316.0,IPR045860,,,
A0A3L8RUL1,receptor protein serine/threonine kinase,Chloebia gouldiae,605,44316.0,IPR045860,,,
A0A3L8RVH8,UPAR/Ly6 domain-containing protein,Chloebia gouldiae (Gouldian finch),126,44316.0,IPR016054,IPR045860,,
A0A3L8RYD9,Serine/threonine-protein kinase receptor,Chloebia gouldiae,540,44316.0,IPR045860,,,
A0A3L8RYS2,Activin types I and II receptor domain-containing protein,Chloebia gouldiae,135,44316.0,IPR045860,,,
A0A3L8SCE3,UPAR/Ly6 domain-containing protein,Chloebia gouldiae (Gouldian finch),280,44316.0,IPR016054,IPR045860,,
A0A3L8SDQ6,UPAR/Ly6 domain-containing protein,Chloebia gouldiae,121,44316.0,IPR045860,,,
A0A3L8SFP9,receptor protein serine/threonine kinase,Chloebia gouldiae,538,44316.0,IPR045860,,,
A0A3L8SHC4,UPAR/Ly6 domain-containing protein,Chloebia gouldiae (Gouldian finch),134,44316.0,IPR016054,IPR045860,,
A0A3L8SL71,receptor protein serine/threonine kinase,Chloebia gouldiae,533,44316.0,IPR045860,,,
A0A3L8SMT6,TGF-beta receptor type-1,Chloebia gouldiae,488,44316.0,IPR045860,,,
A0A3L8SNE4,Serine/threonine-protein kinase receptor,Chloebia gouldiae,521,44316.0,IPR045860,,,
A0A3L8SNL4,UPAR/Ly6 domain-containing protein,Chloebia gouldiae (Gouldian finch),176,44316.0,IPR039457,IPR045860,,
A0A3L8SPJ4,TGF-beta receptor type-2,Chloebia gouldiae,596,44316.0,IPR045860,,,
A0A3L8SWJ7,CD59 glycoprotein,Chloebia gouldiae (Gouldian finch),119,44316.0,IPR016054,IPR045860,,
A0A3L8SYB1,BMP and activin membrane-bound inhibitor homolog,Chloebia gouldiae,261,44316.0,IPR045860,,,
A0A3L8SZV6,UPAR/Ly6 domain-containing protein,Chloebia gouldiae (Gouldian finch),130,44316.0,IPR016054,IPR035076,IPR045860,
A0A3L8SZX3,TGF-beta receptor type-2,Chloebia gouldiae,556,44316.0,IPR045860,,,
A0A3L8T0G0,UPAR/Ly6 domain-containing protein,Chloebia gouldiae (Gouldian finch),243,44316.0,IPR016054,IPR035076,IPR045860,
A0A3L8T0V0,UPAR/Ly6 domain-containing protein,Chloebia gouldiae (Gouldian finch),126,44316.0,IPR016054,IPR035076,IPR045860,
A0A3L8T114,UPAR/Ly6 domain-containing protein,Chloebia gouldiae (Gouldian finch),109,44316.0,IPR016054,IPR035076,IPR045860,
A0A3L8T146,UPAR/Ly6 domain-containing protein,Chloebia gouldiae (Gouldian finch),126,44316.0,IPR016054,IPR035076,IPR045860,
A0A3L8T1I0,UPAR/Ly6 domain-containing protein,Chloebia gouldiae (Gouldian finch),126,44316.0,IPR016054,IPR035076,IPR045860,
A0A3L8T1I3,UPAR/Ly6 domain-containing protein,Chloebia gouldiae (Gouldian finch),122,44316.0,IPR016054,IPR035076,IPR045860,
A0A3M0IHG2,receptor protein serine/threonine kinase,Hirundo rustica rustica,438,333673.0,IPR045860,,,
A0A3M0IQA5,receptor protein serine/threonine kinase,Hirundo rustica rustica,453,333673.0,IPR045860,,,
