identifier,group,oligomeric_state,last_common_ancestor,length
A0A8R1DLR3_IPR031424_1_37-101,Quiver,monomer,genus:Caenorhabditis,50-72
A0A8S1ELC6_IPR031424_1_19-107,none,monomer,genus:Caenorhabditis,72-95
A0A8W8N2K3_IPR031424_1_5-99,none,monomer,genus:Magallana,72-95
A0A9D4DT85_IPR031424_1_22-101,Quiver,monomer,genus:Dreissena,72-95
A0A9N9TW70_IPR045860_1_30-141,none,monomer,genus:Phyllotreta,95-117
A0A9P0GAZ1_IPR031424_2_125-227,SPF,multimer,genus:Psylliodes,95-117
A0A9P0KM25_IPR031424_1_24-118,none,monomer,genus:Acanthoscelides,72-95
A0A9Q0NH62_IPR031424_1_23-116,none,multimer,genus:Pseudolycoriella,72-95
A0A9R1T6G5_IPR045860_1_20-116,none,monomer,genus:Fopius,95-117
A0AA36ALS9_IPR031424_1_29-102,none,monomer,genus:Octopus,72-95
A0AA36FZ24_IPR031424_1_24-108,Quiver,monomer,genus:Mesorhabditis,72-95
A0AA40GIB1_IPR031424_1_30-143,Quiver,monomer,genus:Melipona,95-117
A0AAD5R579_IPR045860_1_16-105,none,monomer,genus:Parelaphostrongylus,72-95
A0AAD8B7P0_IPR045860_1_75-165,Quiver,monomer,genus:Biomphalaria,72-95
A0AAD9KBK4_IPR031424_1_29-126,none,monomer,genus:Paralvinella,95-117
A0AAE0S2T1_IPR031424_1_24-124,none,monomer,family:Unionidae,95-117
A0AAF3EVJ8_IPR031424_1_22-109,Quiver,monomer,genus:Mesorhabditis,72-95
A0AAN8K4B0_IPR031424_1_24-116,none,monomer,class:Gastropoda,72-95
A0AAV2SDI9_IPR031424_1_20-116,none,monomer,genus:Meganyctiphanes,95-117
A0AAV6UDM4_IPR045860_1_22-120,none,monomer,genus:Oedothorax,95-117
A0ABD0SVV8_IPR045860_1_11-115,none,monomer,genus:Loxostege,95-117
A0ABD2PTL5_IPR045860_1_26-129,none,monomer,genus:Cichlidogyrus,95-117
A0ABD3XW80_IPR031424_1_25-99,none,monomer,genus:Sinanodonta,72-95
E0VSI1_IPR031424_1_19-87,mixture,monomer,class:Insecta,50-72
E3M4D3_IPR031424_1_23-142,none,monomer,genus:Caenorhabditis,117-140
K1Q5T4_IPR031424_1_402-489,mixture,monomer,family:Ostreidae,72-95
R4V516_IPR031424_1_24-118,none,monomer,order:Blattodea,95-117
T1EFF6_IPR031424_1_26-122,Quiver,mixture,phylum:Annelida,95-117
T1IWT7_IPR031424_1_19-99,none,monomer,genus:Strigamia,72-95
A0A016SMU4_IPR045860_1_77-143,none,monomer,genus:Ancylostoma,50-72
A0A0B1SDH3_IPR045860_1_13-99,none,monomer,order:Rhabditida,72-95
A0A0E9SDH0_IPR045860_1_25-101,none,monomer,genus:Anguilla,72-95
A0A0K0E1W3_IPR045860_1_43-119,Ly6,monomer,genus:Strongyloides,72-95
A0A0K2T9S3_IPR045860_1_42-141,mixture,monomer,genus:Lepeophtheirus,95-117
A0A0M3I9L3_IPR045860_1_25-107,Ly6,monomer,genus:Ascaris,72-95
A0A0X3NWF6_IPR045860_1_9-100,none,monomer,genus:Schistocephalus,72-95
A0A158NUB9_IPR045860_1_13-64,none,monomer,genus:Atta,50-72
A0A183IHQ7_IPR045860_1_10-85,none,monomer,genus:Soboliphyme,72-95
A0A194Q6G9_IPR045860_1_25-127,none,monomer,genus:Papilio,95-117
A0A1A6H267_IPR045860_1_2-79,none,monomer,genus:Neotoma,72-95
A0A1A9WMM2_IPR045860_1_73-127,none,monomer,genus:Glossina,50-72
A0A1D1V507_IPR045860_1_21-103,Ly6,monomer,genus:Ramazzottius,72-95
A0A1I7RHZ2_IPR045860_1_17-97,none,monomer,genus:Bursaphelenchus,72-95
A0A1I7ZF94_IPR045860_1_20-108,Ly6,monomer,genus:Steinernema,72-95
A0A1I8GI43_IPR045860_2_42-107,none,multimer,genus:Macrostomum,50-72
A0A1I8NWV1_IPR045860_1_55-149,none,monomer,family:Muscidae,72-95
A0A1L8D734_IPR045860_1_10-84,none,monomer,genus:Nyssomyia,72-95
A0A1S3JSL6_IPR045860_1_487-577,none,monomer,genus:Lingula,72-95
A0A1S4FTM6_IPR045860_1_34-124,mixture,monomer,order:Diptera,72-95
A0A1Y1M743_IPR045860_1_14-90,Quiver,monomer,genus:Photinus,72-95
A0A210Q2J1_IPR045860_1_26-106,none,multimer,genus:Mizuhopecten,72-95
A0A2A6B861_IPR045860_1_14-101,none,monomer,genus:Pristionchus,72-95
A0A2B4RPX7_IPR045860_1_41-112,Ly6,monomer,genus:Stylophora,50-72
A0A2G9R4I0_IPR045860_1_7-96,Ly6,monomer,genus:Aquarana,72-95
A0A2J7RRN0_IPR045860_1_8-77,Ly6,monomer,genus:Cryptotermes,50-72
A0A2K6SQ93_IPR045860_1_1-52,none,monomer,phylum:Chordata,50-72
A0A3M7Q3H8_IPR045860_1_48-114,mixture,monomer,genus:Brachionus,50-72
A0A3P9BR26_IPR045860_1_17-72,mixture,monomer,family:Cichlidae,50-72
A0A3Q1EHG8_IPR045860_1_22-99,none,monomer,family:Pomacentridae,72-95
A0A3Q1J6S8_IPR045860_1_6-66,Ly6,monomer,genus:Anabas,50-72
A0A3Q2G7X0_IPR045860_1_23-96,Ly6,monomer,genus:Cyprinodon,72-95
A0A3Q3R6U2_IPR045860_1_24-84,Ly6,monomer,genus:Monopterus,50-72
A0A401QF60_IPR045860_1_6-91,none,monomer,genus:Scyliorhinus,72-95
A0A433TMT8_IPR045860_1_5-91,none,monomer,family:Plakobranchidae,72-95
A0A482XL64_IPR045860_1_54-158,none,monomer,genus:Laodelphax,95-117
A0A498P1F1_IPR045860_1_142-201,none,multimer,genus:Labeo,50-72
A0A4U5M496_IPR045860_2_11-97,none,multimer,genus:Steinernema,72-95
A0A4U8UY74_IPR045860_1_79-176,none,monomer,genus:Steinernema,95-117
A0A4W3GGG0_IPR045860_1_30-143,none,monomer,genus:Callorhinchus,95-117
A0A504YE21_IPR045860_1_19-92,Ly6,monomer,genus:Fasciola,72-95
A0A553PT20_IPR045860_1_45-137,none,monomer,genus:Tigriopus,72-95
A0A5N3WR93_IPR045860_1_130-223,mixture,mixture,order:Artiodactyla,72-95
A0A669CP87_IPR045860_1_13-77,Ly6,monomer,family:Cichlidae,50-72
A0A672GP50_IPR045860_1_8-91,mixture,monomer,class:Actinopteri,72-95
A0A672JN29_IPR045860_1_18-96,none,monomer,genus:Salarias,72-95
A0A674NWW4_IPR045860_1_5-63,none,monomer,genus:Takifugu,50-72
A0A6A4XF14_IPR045860_1_165-216,none,multimer,genus:Amphibalanus,50-72
A0A6G0V5H7_IPR045860_1_78-190,none,monomer,family:Panagrolaimidae,95-117
A0A6I9XSF4_IPR045860_2_63-146,none,multimer,genus:Thamnophis,72-95
A0A6J0B9D1_IPR045860_1_15-117,none,monomer,genus:Neodiprion,95-117
A0A6J2VCD3_IPR045860_1_17-102,none,monomer,genus:Chanos,72-95
A0A6P6N117_IPR045860_1_17-94,none,monomer,genus:Carassius,72-95
A0A6P7H4J0_IPR045860_1_21-138,none,monomer,genus:Parambassis,117-140
A0A6P8I475_IPR045860_1_20-94,none,monomer,genus:Actinia,72-95
A0A6S7FX41_IPR045860_1_1-90,none,monomer,genus:Paramuricea,72-95
A0A7D9IBT0_IPR045860_1_19-109,none,mixture,genus:Paramuricea,72-95
A0A7I4YMR8_IPR045860_1_24-101,none,monomer,genus:Haemonchus,72-95
A0A7K6GZM7_IPR045860_1_1-63,mixture,monomer,class:Aves,50-72
A0A7M5XIW4_IPR045860_1_18-108,none,monomer,genus:Clytia,72-95
A0A7M7K823_IPR045860_1_301-380,none,monomer,genus:Varroa,72-95
A0A7M7QGQ4_IPR045860_1_22-122,none,monomer,genus:Nasonia,95-117
A0A7R9GFM3_IPR045860_1_175-273,none,monomer,genus:Notodromas,95-117
A0A811L7A2_IPR045860_1_20-101,Ly6,monomer,genus:Bursaphelenchus,72-95
A0A813MG68_IPR045860_1_9-84,none,monomer,genus:Brachionus,72-95
A0A813SLY4_IPR045860_1_23-93,none,monomer,genus:Didymodactylos,50-72
A0A814TQ21_IPR045860_1_19-89,none,monomer,genus:Adineta,50-72
A0A815U340_IPR045860_1_22-104,none,monomer,genus:Adineta,72-95
A0A816DQF5_IPR045860_1_16-66,none,monomer,genus:Rotaria,50-72
A0A817K1G6_IPR045860_1_5-79,mixture,monomer,class:Eurotatoria,72-95
A0A819XI98_IPR045860_1_21-92,none,monomer,genus:Adineta,50-72
A0A8B6G070_IPR045860_1_25-129,none,monomer,genus:Mytilus,95-117
A0A8B8AGS5_IPR045860_2_196-281,none,multimer,family:Ostreidae,72-95
A0A8B8IDZ6_IPR045860_1_73-171,mixture,monomer,order:Lepidoptera,95-117
A0A8B8VNU3_IPR045860_1_12-92,Ly6,monomer,genus:Balaenoptera,72-95
A0A8C2V8N2_IPR045860_1_66-131,none,monomer,genus:Chinchilla,50-72
A0A8C4ERD5_IPR045860_1_1-52,none,monomer,genus:Dicentrarchus,50-72
A0A8C4Y7V0_IPR045860_1_37-103,none,monomer,genus:Gopherus,50-72
A0A8C5DI65_IPR045860_1_1-57,Ly6,monomer,genus:Gouania,50-72
A0A8C6ZIV9_IPR045860_1_17-102,none,monomer,genus:Nothoprocta,72-95
A0A8I6TLF6_IPR045860_1_22-96,none,monomer,genus:Cimex,72-95
A0A8J1K142_IPR045860_1_15-104,Ly6,mixture,genus:Xenopus,72-95
A0A8J1TSU4_IPR045860_1_20-122,none,monomer,genus:Owenia,95-117
A0A8J6E5M1_IPR045860_1_111-190,SPF,multimer,genus:Eleutherodactylus,72-95
A0A8J6HG74_IPR045860_1_18-111,none,monomer,genus:Tenebrio,72-95
A0A8K0DK39_IPR045860_1_33-141,none,monomer,genus:Ignelater,95-117
A0A8P4KH38_IPR045860_1_149-226,none,monomer,class:Actinopteri,72-95
A0A8S1DBV9_IPR045860_1_45-144,none,monomer,genus:Cloeon,95-117
A0A8V1A744_IPR045860_1_1-65,none,monomer,phylum:Chordata,50-72
D3ZMV3_IPR016054_1_30-113,mixture,monomer,family:Muridae,72-95
F6W179_IPR016054_3_122-180,Ly6,mixture,class:Mammalia,50-72
F7FV44_IPR051445_1_1-139,mostly_Ly6,monomer,order:Primates,117-140
G3VP90_IPR016054_3_210-302,none,multimer,genus:Sarcophilus,72-95
H0XP47_IPR016054_1_127-206,Ly6,monomer,genus:Otolemur,72-95
K7ETV3_IPR016054_1_28-108,Ly6,multimer,order:Primates,72-95
M0R6Z6_IPR016054_1_213-307,none,multimer,genus:Rattus,72-95
M3XQ92_IPR016054_1_20-108,Ly6,multimer,order:Carnivora,72-95
M7B2W8_IPR045860_2_6-94,Ly6,multimer,order:Testudines,72-95
P81827_IPR016054_1_21-98,mixture,monomer,genus:Rattus,72-95
Q5NC41_IPR016054_1_35-108,Ly6,multimer,genus:Mus,72-95
V9LCY6_IPR016054_1_102-190,Ly6,multimer,genus:Callorhinchus,72-95
A0A670HUA8_IPR026524_1_7-102,none,monomer,genus:Podarcis,95-117
A0A1A8RI45_IPR039457_1_1-66,Ly6,monomer,genus:Nothobranchius,50-72
A0A210Q4R4_IPR039457_1_31-152,Ly6,monomer,genus:Mizuhopecten,117-140
A0A3Q4FXL6_IPR039457_1_19-113,Ly6,monomer,genus:Neolamprologus,72-95
A0A6J1SXQ2_IPR039457_1_83-190,Ly6,monomer,family:Thripidae,95-117
A0A7R9G4N8_IPR039457_1_19-129,Ly6,monomer,genus:Timema,95-117
A0A8C7I854_IPR039457_1_5-169,mostly_Ly6,monomer,class:Actinopteri,140-162
A0AAW2I5V9_IPR039457_1_38-149,none,monomer,genus:Menopon,95-117
A0A016TCX6_IPR031424_1_22-118,mixture,monomer,order:Rhabditida,72-95
A0A077ZG91_IPR045860_1_14-106,none,monomer,genus:Trichuris,72-95
A0A0C5AYN4_IPR031424_1_1-104,none,monomer,genus:Megaselia,95-117
A0A0K2UF82_IPR031424_2_1329-1426,none,multimer,genus:Lepeophtheirus,95-117
A0A0L0BZ61_IPR031424_1_35-125,none,monomer,genus:Lucilia,72-95
A0A0Q9WJ36_IPR031424_1_36-154,none,monomer,family:Drosophilidae,117-140
A0A146MAR0_IPR045860_1_19-107,none,monomer,genus:Lygus,72-95
A0A158NAQ9_IPR031424_1_29-125,mixture,monomer,order:Hymenoptera,95-117
A0A183J5K1_IPR031424_1_28-123,Quiver,monomer,genus:Soboliphyme,95-117
A0A1B0GHW8_IPR031424_1_36-128,mixture,monomer,family:Psychodidae,72-95
A0A1B6K7H2_IPR031424_1_38-146,none,monomer,genus:Homalodisca,95-117
A0A1D1VGV8_IPR031424_1_79-178,Quiver,monomer,genus:Ramazzottius,95-117
A0A1D2NMI4_IPR031424_1_153-225,none,monomer,genus:Orchesella,72-95
A0A1I8M3Z3_IPR031424_1_23-126,none,monomer,genus:Musca,95-117
A0A1I8P659_IPR031424_1_29-172,none,monomer,genus:Stomoxys,140-162
A0A1S3I1R1_IPR031424_1_26-110,Quiver,monomer,genus:Lingula,72-95
A0A1S3JYA4_IPR031424_1_21-107,Quiver,monomer,genus:Lingula,72-95
A0A1W0X6S4_IPR031424_1_34-134,Quiver,monomer,genus:Hypsibius,95-117
A0A1Y1K3I9_IPR031424_1_21-117,none,monomer,order:Coleoptera,95-117
A0A1Y1NAV6_IPR031424_1_27-142,none,monomer,family:Lampyridae,95-117
A0A226EYN6_IPR031424_1_49-136,Quiver,monomer,genus:Folsomia,72-95
A0A267E9Z9_IPR031424_1_43-135,mixture,monomer,genus:Macrostomum,72-95
A0A443SL57_IPR045860_1_2-92,none,monomer,genus:Leptotrombidium,72-95
A0A482XCC3_IPR031424_1_10-146,Quiver,monomer,genus:Laodelphax,117-140
A0A553P5R1_IPR031424_1_20-138,none,monomer,class:Hexanauplia,117-140
A0A5N5TFK8_IPR031424_1_5-88,none,monomer,genus:Armadillidium,72-95
A0A653DEN0_IPR031424_1_34-152,none,monomer,genus:Callosobruchus,117-140
A0A6J0CBV5_IPR031424_1_28-123,none,monomer,genus:Neodiprion,95-117
A0A6J1WMV5_IPR031424_1_20-119,none,mixture,order:Lepidoptera,95-117
A0A6P7SDX9_IPR031424_1_24-114,none,monomer,genus:Octopus,72-95
A0A7G3ALW7_IPR045860_1_1-96,none,monomer,family:Psychodidae,95-117
A0A7J7JSW8_IPR045860_1_18-101,none,monomer,genus:Bugula,72-95
A0A7M7GTH4_IPR031424_1_38-126,none,monomer,family:Apidae,72-95
A0A7R8CGE9_IPR031424_1_32-136,none,monomer,genus:Lepeophtheirus,95-117
A0A7R8X1I9_IPR045860_2_22-107,Quiver,mixture,genus:Darwinula,72-95
A0A7R9C104_IPR031424_1_28-126,none,monomer,genus:Notodromas,95-117
A0A7R9QWN7_IPR031424_1_29-179,none,monomer,genus:Oppiella,140-162
A0A813PNG5_IPR045860_1_23-112,none,monomer,genus:Brachionus,72-95
A0A814QBV6_IPR031424_1_24-108,none,monomer,genus:Adineta,72-95
A0A815JAL4_IPR031424_1_21-111,Quiver,monomer,genus:Adineta,72-95
A0A818IS47_IPR031424_1_23-115,Quiver,monomer,class:Eurotatoria,72-95
A0A821T4J9_IPR031424_1_37-125,mostly_Quiver,monomer,class:Eurotatoria,72-95
A0A834IJZ1_IPR031424_1_21-82,none,monomer,genus:Rhynchophorus,50-72
A0A834N6U9_IPR031424_2_223-312,none,multimer,genus:Vespula,72-95
A0A8B6CMH3_IPR045860_1_143-244,Quiver,monomer,genus:Mytilus,95-117
A0A8B7PG83_IPR045860_1_18-113,none,monomer,genus:Hyalella,95-117
A0A8I6RMI4_IPR031424_1_20-124,none,monomer,genus:Cimex,95-117
A0A8J2QPS0_IPR031424_1_23-135,none,monomer,genus:Danaus,95-117
A0A8J5MU39_IPR031424_1_24-110,none,monomer,genus:Homarus,72-95
A0A8R2AB21_IPR031424_1_28-124,mixture,monomer,family:Aphididae,95-117
A0A8S1CNQ4_IPR031424_1_20-107,none,monomer,genus:Cloeon,72-95
A0A8T0FUT7_IPR031424_1_34-121,Quiver,monomer,order:Araneae,72-95
A0A8W8J6H0_IPR031424_1_9-100,mixture,monomer,genus:Magallana,72-95
A0A914WJK0_IPR031424_1_20-145,none,monomer,genus:Plectus,117-140
A0A9D4RKG3_IPR031424_1_3-99,mixture,monomer,genus:Dreissena,95-117
A0A9J6CMN1_IPR031424_1_155-254,none,monomer,genus:Polypedilum,95-117
A0A9N9MUQ3_IPR031424_1_21-123,Quiver,monomer,genus:Ceutorhynchus,95-117
A0A9N9SDS8_IPR045860_1_73-169,mixture,monomer,order:Coleoptera,72-95
A0A9N9WRV6_IPR031424_1_23-109,none,monomer,genus:Chironomus,72-95
A0A9P0BYD5_IPR031424_1_20-129,mixture,mixture,family:Noctuidae,95-117
A0A9W3BLY9_IPR031424_1_24-119,none,monomer,genus:Biomphalaria,95-117
A0AA38HZA9_IPR031424_1_21-113,none,monomer,genus:Zophobas,72-95
A0AA85BUV8_IPR031424_1_32-131,mixture,monomer,class:Trematoda,95-117
A0AAE1H7P7_IPR045860_1_86-176,mixture,monomer,family:Thripidae,72-95
A0AAJ7BN98_IPR045860_1_17-110,none,monomer,genus:Cephus,72-95
A0AAN5D6K6_IPR045860_1_14-103,mixture,monomer,genus:Pristionchus,72-95
A0AAN9VRP4_IPR031424_1_30-141,none,monomer,genus:Gryllus,95-117
A0AAW1AL03_IPR031424_1_24-149,none,monomer,family:Apidae,117-140
A0AAW1UKT1_IPR045860_1_18-116,Quiver,monomer,genus:Henosepilachna,95-117
A0ABD0LGR0_IPR031424_1_26-105,none,monomer,genus:Batillaria,72-95
A0ABD0ZAU0_IPR031424_1_22-114,none,monomer,genus:Ranatra,72-95
A0ABD2MJ50_IPR045860_1_24-111,none,monomer,genus:Cryptolaemus,72-95
B3MU75_IPR031424_1_25-123,none,monomer,genus:Drosophila,95-117
B4G718_IPR031424_1_21-122,none,mixture,family:Drosophilidae,95-117
N6T0J2_IPR031424_1_23-143,none,monomer,genus:Dendroctonus,117-140
R7VJG2_IPR031424_1_52-133,none,monomer,genus:Capitella,72-95
T1FUF4_IPR031424_1_25-104,none,monomer,genus:Helobdella,72-95
T1JQ64_IPR031424_1_11-108,none,monomer,genus:Tetranychus,95-117
U6JI44_IPR031424_1_32-127,mixture,monomer,order:Cyclophyllidea,95-117
A0A6J1ZSF3_IPR051445_1_2-70,none,monomer,genus:Acinonyx,50-72
A0A087UMI9_IPR045860_1_23-108,none,monomer,order:Araneae,72-95
A0A095A0M7_IPR045860_1_24-95,mixture,monomer,genus:Schistosoma,50-72
A0A0A0QTC2_IPR045860_1_68-147,mixture,mixture,family:Salamandridae,72-95
A0A0A0QUX4_IPR045860_1_18-69,SPF,monomer,genus:Notophthalmus,50-72
A0A0A1X867_IPR045860_1_114-174,mixture,monomer,order:Diptera,50-72
A0A0B1TTD3_IPR045860_1_101-186,none,multimer,genus:Oesophagostomum,72-95
A0A0C2MUM4_IPR045860_1_13-89,none,monomer,genus:Thelohanellus,72-95
A0A0K0EXV1_IPR045860_1_15-94,none,monomer,family:Strongyloididae,72-95
A0A0N4VKP3_IPR045860_1_2-91,none,monomer,genus:Enterobius,72-95
A0A0N5AVA4_IPR045860_1_18-110,Ly6,monomer,genus:Syphacia,72-95
A0A132AK87_IPR045860_1_1-102,none,monomer,genus:Sarcoptes,95-117
A0A158Q700_IPR045860_1_49-149,none,monomer,order:Rhabditida,95-117
A0A183CH39_IPR045860_1_2-95,none,monomer,genus:Globodera,72-95
A0A1A7WKF6_IPR045860_1_34-129,none,monomer,phylum:Chordata,95-117
A0A1A8FGV4_IPR045860_1_22-104,none,monomer,family:Nothobranchiidae,72-95
A0A1B0B4X7_IPR045860_1_30-129,none,monomer,genus:Glossina,95-117
A0A1B4ZDC1_IPR045860_1_62-140,none,monomer,genus:Procambarus,72-95
A0A1D2MHZ4_IPR045860_1_27-127,none,monomer,genus:Orchesella,95-117
A0A1I7Y7B6_IPR045860_1_22-95,none,monomer,genus:Steinernema,72-95
A0A1I9RYF8_IPR045860_1_28-128,none,monomer,genus:Scylla,95-117
A0A1S3H0E3_IPR045860_1_237-319,none,monomer,genus:Lingula,72-95
A0A1X7VMF3_IPR045860_1_25-96,none,monomer,genus:Amphimedon,50-72
A0A210QK44_IPR045860_1_26-101,none,monomer,genus:Mizuhopecten,72-95
A0A267FE13_IPR045860_1_77-159,none,monomer,genus:Macrostomum,72-95
A0A2A6CAH4_IPR045860_1_67-148,none,monomer,genus:Pristionchus,72-95
A0A2B4S8H5_IPR045860_1_133-212,none,monomer,order:Scleractinia,72-95
A0A2C9LSR6_IPR045860_1_27-115,Ly6,monomer,genus:Biomphalaria,72-95
A0A2I0TMY7_IPR045860_1_43-134,none,monomer,genus:Limosa,72-95
A0A2I4D191_IPR045860_1_20-120,none,monomer,genus:Austrofundulus,95-117
A0A2J8N5D4_IPR045860_1_5-108,none,monomer,phylum:Chordata,95-117
A0A3B3SSE3_IPR045860_1_18-94,Ly6,monomer,genus:Paramormyrops,72-95
A0A3B3ULR2_IPR045860_3_17-104,none,multimer,order:Cyprinodontiformes,72-95
A0A3N0XIL7_IPR045860_1_20-95,none,monomer,genus:Anabarilius,72-95
A0A3P7HPH2_IPR045860_1_12-82,none,monomer,order:Rhabditida,50-72
A0A3P8QXZ7_IPR045860_1_18-90,Ly6,monomer,family:Cichlidae,72-95
A0A3Q2QH09_IPR045860_1_18-101,none,monomer,genus:Fundulus,72-95
A0A3Q4BN92_IPR045860_1_20-118,none,monomer,genus:Mola,95-117
A0A3Q4HYL5_IPR045860_1_18-73,none,monomer,genus:Neolamprologus,50-72
A0A3S1B3H6_IPR045860_1_37-134,Quiver,monomer,genus:Elysia,95-117
A0A401SVQ4_IPR045860_1_59-152,none,monomer,class:Chondrichthyes,95-117
A0A4C1YA56_IPR045860_1_194-282,none,monomer,genus:Eumeta,72-95
A0A4E0RFG8_IPR045860_1_8-101,none,monomer,genus:Fasciola,72-95
A0A5E4MDZ6_IPR045860_1_24-124,none,monomer,family:Aphididae,95-117
A0A665SX48_IPR045860_1_19-78,Ly6,monomer,genus:Echeneis,50-72
A0A665VVP8_IPR045860_1_46-118,none,monomer,genus:Echeneis,72-95
A0A669FAX0_IPR045860_1_28-142,none,monomer,family:Cichlidae,95-117
A0A671KMJ2_IPR045860_1_52-125,none,monomer,genus:Sinocyclocheilus,72-95
A0A671YU03_IPR045860_1_1-63,none,monomer,class:Actinopteri,50-72
A0A672NS07_IPR045860_1_22-123,none,monomer,class:Actinopteri,95-117
A0A672ZLK8_IPR045860_1_31-114,Ly6,monomer,genus:Sphaeramia,72-95
A0A6A5ELH6_IPR045860_1_30-129,none,monomer,family:Percidae,95-117
A0A6F9A4Q4_IPR045860_1_10-100,none,monomer,genus:Coregonus,72-95
A0A6J2W299_IPR045860_1_29-134,none,monomer,class:Actinopteri,95-117
A0A6J3L9N4_IPR045860_1_23-125,none,monomer,order:Hymenoptera,95-117
A0A6J8BIZ3_IPR045860_1_35-125,mixture,mixture,genus:Mytilus,72-95
A0A6P6HJT1_IPR045860_1_123-183,mostly_Ly6,mixture,class:Mammalia,50-72
A0A6P7T7X0_IPR045860_1_17-111,none,monomer,genus:Octopus,72-95
A0A6P8ILM6_IPR045860_1_293-381,none,monomer,genus:Actinia,72-95
A0A6P8TXE5_IPR045860_1_24-108,none,monomer,order:Perciformes,72-95
A0A6S7IEC4_IPR045860_1_38-113,none,monomer,genus:Paramuricea,72-95
A0A7E4W473_IPR045860_1_18-115,Ly6,monomer,genus:Panagrellus,95-117
A0A7I8WE53_IPR045860_1_16-88,none,monomer,genus:Dimorphilus,72-95
A0A7M5VET2_IPR045860_1_1-98,none,monomer,genus:Clytia,95-117
A0A7M7H913_IPR045860_1_42-137,none,monomer,genus:Nasonia,95-117
A0A7R8UC18_IPR045860_1_57-164,none,monomer,genus:Hermetia,95-117
A0A813PZ80_IPR045860_1_21-87,none,monomer,genus:Brachionus,50-72
A0A813XUB4_IPR045860_1_37-134,none,monomer,genus:Adineta,95-117
A0A815E9Z7_IPR045860_1_25-97,none,monomer,genus:Adineta,72-95
A0A816L6J3_IPR045860_1_26-92,none,monomer,class:Eurotatoria,50-72
A0A817QT04_IPR045860_1_19-92,none,monomer,genus:Rotaria,72-95
A0A818U6W1_IPR045860_1_9-102,mixture,monomer,class:Eurotatoria,72-95
A0A820FJV8_IPR045860_1_24-94,none,monomer,genus:Adineta,50-72
A0A820SNE3_IPR045860_1_69-132,none,monomer,genus:Rotaria,50-72
A0A834ISU1_IPR045860_1_67-165,none,monomer,family:Curculionidae,95-117
A0A834R739_IPR045860_1_124-237,none,monomer,genus:Sarcoptes,95-117
A0A8B6EHL6_IPR045860_1_24-128,none,monomer,genus:Mytilus,95-117
A0A8B7DCD2_IPR045860_1_445-525,none,monomer,genus:Hydra,72-95
A0A8C5PAK2_IPR045860_1_22-119,none,monomer,genus:Leptobrachium,95-117
A0A8C6T255_IPR045860_1_24-88,none,monomer,genus:Neogobius,50-72
A0A8C7RXZ2_IPR045860_1_15-97,Ly6,monomer,genus:Oncorhynchus,72-95
A0A8C8VL89_IPR045860_1_23-122,none,monomer,genus:Pelusios,95-117
A0A8C9QCN6_IPR045860_1_18-95,none,monomer,family:Sciuridae,72-95
A0A8C9TMD6_IPR045860_1_23-99,none,monomer,order:Osteoglossiformes,72-95
A0A8D8EYL6_IPR045860_1_27-148,none,monomer,genus:Culex,117-140
A0A8J6EW36_IPR045860_2_34-147,none,multimer,order:Anura,95-117
A0A8K0G036_IPR045860_1_19-99,none,monomer,genus:Ignelater,72-95
A0A8R1HKM4_IPR045860_1_35-104,none,monomer,genus:Caenorhabditis,50-72
A0A8S1F3X5_IPR045860_1_28-94,none,monomer,genus:Caenorhabditis,50-72
A0A8S3ZKU0_IPR045860_1_27-120,none,monomer,genus:Candidula,72-95
A0A8S4GCV6_IPR045860_1_39-147,none,monomer,genus:Plutella,95-117
A0A8T1RYH4_IPR045860_1_98-187,Ly6,monomer,genus:Chelydra,72-95
A0A8T2IT31_IPR045860_1_26-98,Ly6,monomer,genus:Hymenochirus,72-95
A0A8X6I7U0_IPR045860_1_1-74,none,monomer,genus:Trichonephila,72-95
A0A914AUD8_IPR045860_1_1-58,none,monomer,genus:Patiria,50-72
A0A914IDC6_IPR045860_1_41-96,none,monomer,genus:Globodera,50-72
A0A914Z0P7_IPR045860_1_116-196,none,monomer,genus:Panagrolaimus,72-95
A0A915ELA4_IPR045860_1_23-105,none,monomer,order:Rhabditida,72-95
A0A974CNI0_IPR045860_1_268-382,none,multimer,genus:Xenopus,95-117
A0A9D3BHB1_IPR045860_1_1-82,Ly6,multimer,genus:Nothobranchius,72-95
A0A9D4NFD4_IPR045860_1_116-194,none,monomer,genus:Dreissena,72-95
A0A9J6CM58_IPR045860_1_42-139,none,monomer,genus:Polypedilum,95-117
A0A9J7HJT3_IPR045860_1_19-121,Ly6,monomer,genus:Branchiostoma,95-117
A0A9N9XNL3_IPR045860_1_81-183,none,monomer,genus:Phyllotreta,95-117
A0A9Q0YDX6_IPR045860_1_30-121,none,monomer,genus:Holothuria,72-95
A0A9W7TAE7_IPR045860_1_9-84,none,monomer,class:Actinopteri,72-95
A0A9W9YJE4_IPR045860_1_18-91,none,monomer,genus:Desmophyllum,72-95
A0A9X0A590_IPR045860_1_17-89,none,monomer,genus:Desmophyllum,72-95
A0A9X0D7A1_IPR045860_1_24-125,none,monomer,order:Scleractinia,95-117
A0AA35KP49_IPR045860_1_114-204,Ly6,monomer,genus:Podarcis,72-95
A0AA35P9T6_IPR045860_1_5-92,none,monomer,genus:Podarcis,72-95
A0AA38HWX9_IPR045860_1_26-102,none,monomer,genus:Zophobas,72-95
A0AA39M1L5_IPR045860_1_19-118,none,monomer,genus:Steinernema,95-117
